AUTHENTICATION_BETA_REGION,- Beta=0
Abil/Name/XelNaga_Caverns_Floating_BridgeV10,Xel'Naga Caverns Floating Bridge - V - Height 10 - Retract=19530
Abil/Name/XelNaga_Caverns_Floating_BridgeV10Out,Xel'Naga Caverns Floating Bridge - V - Height 10 - Extend=19531
Abil/Name/XelNaga_Caverns_Floating_BridgeV12,Xel'Naga Caverns Floating Bridge - V - Height 12 - Retract=19532
Abil/Name/XelNaga_Caverns_Floating_BridgeV12Out,Xel'Naga Caverns Floating Bridge - V - Height 12 - Extend=19533
Abil/Name/XelNaga_Caverns_Floating_BridgeV8,Xel'Naga Caverns Floating Bridge - V - Height 8 - Retract=19534
Abil/Name/XelNaga_Caverns_Floating_BridgeV8Out,Xel'Naga Caverns Floating Bridge - V - Height 8 - Extend=19535
Abil/Name/Yoink,Abduct=19536
Abil/Name/attackProtossBuilding,Zaatakuj budowlę protosów=19537
Abil/Name/burrowedBanelingStop,Stop=19538
Abil/Name/que8,Kolejka (8)=19539
Abil/Name/stopProtossBuilding,Budowla protosów, Zatrzymaj=19540
Actor/HighlightTooltip/Ice2x2NonConjoined,Zaatakuj, by to zniszczyć=19541
Behavior/Name/Angry,Zły=19542
Behavior/Name/BattlecruiserAntiAirDisable,Krążownik Przeciwlotniczy wyłączony=19543
Behavior/Name/Benign,Łagodny=19544
Behavior/Name/BlindingCloud,Oślepiający obłok=19545
Behavior/Name/BlindingCloudStructure,Oślepiający obłok=19546
Behavior/Name/BuildingShield,Budowla Osłona=19547
Behavior/Name/BuildingStasis,Przesunięcie fazowe=19548
Behavior/Name/BurrowCharge,Podziemna szarża=19549
Behavior/Name/BurrowChargeMPKnockback,Podziemna szarża MP Odrzucenie=19550
Behavior/Name/BurrowCharging,Zagrzebanie – szarża=19551
Behavior/Name/BurrowChargingRevD,Podziemna szarża, Rev D=19552
Behavior/Name/CapResource,Limit surowców=19553
Behavior/Name/CarryHarvestableTerrazineGeyserGas,Zanieś zbieralny terrazyt z gejzera=19554
Behavior/Name/CarryHarvestableTerrazineGeyserGasProtoss,Zanieś zbieralny gaj z gejzeru terrazytu, protosi=19555
Behavior/Name/CarryHarvestableTerrazineGeyserGasZerg,Zanieś zbieralny terrazyt z gejzera, Zergi=19556
Behavior/Name/CarryMineralFieldMineralsNoRemove,Zanieś minerały z pola, Nie usuwaj=19557
Behavior/Name/ChargeUp,Doładowanie=19558
Behavior/Name/CloakUnit,Jednostka z maskowaniem=19559
Behavior/Name/Clone,Replikant=19560
Behavior/Name/CloneDummy,Klon, Atrapa=19561
Behavior/Name/CollapsibleRockTower,Niestabilna Skała Wieża=19562
Behavior/Name/CollapsibleRockTowerConjoined,Niestabilna Skała Wieża Skała Wieża, Przyłączona=19563
Behavior/Name/CollapsibleRockTowerConjoinedSearch,Niestabilna Skała Wieża (Przyłączona Wyszukiwanie)=19564
Behavior/Name/CollapsibleRockTowerDiagonal,Niestabilna Skała Wieża Skała Wieża, Ukośne=19565
Behavior/Name/CollapsibleRockTowerFalling,Niestabilna Skała Wieża=19566
Behavior/Name/CollapsibleRockTowerFallingRampLeft,Niestabilna Skała Wieża Rampa Lewo=19567
Behavior/Name/CollapsibleRockTowerFallingRampRight,Niestabilna Skała Wieża Rampa Prawo=19568
Behavior/Name/CollapsibleRockTowerRampDiagonalConjoinedSearch,Niestabilna Skała Wieża Rampa/Ukośna (Przyłączona Wyszukiwanie)=19569
Behavior/Name/CollapsibleRockTowerRampLeft,Niestabilna Skała Wieża (Rampa Lewo)=19570
Behavior/Name/CollapsibleRockTowerRampRight,Niestabilna Skała Wieża (Rampa Prawo)=19571
Behavior/Name/CollapsibleTerranTower,Niestabilna wieża terran=19572
Behavior/Name/CollapsibleTerranTowerConjoined,Niestabilna wieża terran, Przyłączona=19573
Behavior/Name/CollapsibleTerranTowerConjoinedSearch,Niestabilna Wieża Terranie (Przyłączona Wyszukiwanie)=19574
Behavior/Name/CollapsibleTerranTowerDiagonal,Niestabilna wieża terran, Ukośna=19575
Behavior/Name/CollapsibleTerranTowerFalling,Niestabilna wieża terran, Spadająca=19576
Behavior/Name/CollapsibleTerranTowerRampDiagonalConjoinedSearch,Niestabilna Skała Wieża Terranie Rampa/Ukośna (Przyłączona Wyszukiwanie)=19577
Behavior/Name/CollapsibleTerranTowerRampLeft,Niestabilna wieża terran (Rampa Lewo)=19578
Behavior/Name/CollapsibleTerranTowerRampLeftFalling,Niestabilna wieża terran (Rampa Lewo)=19579
Behavior/Name/CollapsibleTerranTowerRampRight,Niestabilna wieża terran (Rampa Prawo)=19580
Behavior/Name/CollapsibleTerranTowerRampRightFalling,Niestabilna wieża terran (Rampa Prawo)=19581
Behavior/Name/CollapsibleTowerInvulnerable,Niestabilna wieża terran, Niewrażliwość=19582
Behavior/Name/CorruptorGroundAttackDebuff,Osłabiający szlam=19583
Behavior/Name/CritterFlee,Ucieczka stwora=19584
Behavior/Name/DestructibleStatue4x4,Zniszczalna statua=19585
Behavior/Name/DestructibleStatueRubbleTimedLife,Zniszczalna statua – gruz – czas życia=19586
Behavior/Name/Detector9,Wykrywacz9=19587
Behavior/Name/DetectorProtossHeroShip,Wykrywacz – Protoski statek bohaterski=19588
Behavior/Name/DigesterCreep,Trawiciel – biomasa=19589
Behavior/Name/DigesterCreepSprayFinal,Trawiciel, Biomasa – rozprysk, ostatni=19590
Behavior/Name/DigesterCreepSprayUnitTimedLife,Trawiciel, Biomasa – rozprysk, jednostka, ograniczony czas życia=19591
Behavior/Name/DigesterCreepSprayVision,TrawicielBiomasyRozpryskWizja=19592
Behavior/Name/DodgeDrone,Unik – robotnica=19593
Behavior/Name/DoomDamageDelay,Zagłada, Obrażenia, Opóźnienie=19594
Behavior/Name/EMPBomb,Bomba EMP=19595
Behavior/Name/Engage,Zaatakuj=19596
Behavior/Name/ExtendBridgeExtend,Wysuń most – wysuń=19597
Behavior/Name/ExtendBridgeExtendingBridgeNEWide10Out,Wysuń most Wysuwany most NE – Szeroki 10 Wysunięty=19598
Behavior/Name/ExtendBridgeExtendingBridgeNEWide12Out,Wysuń most Wysuwany most NE – Szeroki 12 Wysunięty=19599
Behavior/Name/ExtendBridgeExtendingBridgeNEWide8Out,Wysuń most Wysuwany most NE – Szeroki 8 Wysunięty=19600
Behavior/Name/ExtendBridgeExtendingBridgeNWWide10Out,Wysuń most Wysuwany most NW – Szeroki 10 Wysunięty=19601
Behavior/Name/ExtendBridgeExtendingBridgeNWWide12Out,Wysuń most Wysuwany most NW – Szeroki 12 Wysunięty=19602
Behavior/Name/ExtendBridgeExtendingBridgeNWWide8Out,Wysuń most Wysuwany most NW – Szeroki 8 Wysunięty=19603
Behavior/Name/EyeStalk,Szypułka oczna=19604
Behavior/Name/FlyerShield,Osłona latających=19605
Behavior/Name/GhostSnipeDoT,Duch Strzał snajperski Do =19606
Behavior/Name/HarvestableTerrazineGeyserGas,Zbieralny terrazyt z gejzera=19607
Behavior/Name/HarvestableTerrazineGeyserGasProtoss,Zbieralny terrazyt z gejzera, Protosi=19608
Behavior/Name/HarvestableTerrazineGeyserGasZerg,Zbieralny terrazyt z gejzera, Zergi=19609
Behavior/Name/HellionTankReady,Helion, Czołg, Gotowy=19610
Behavior/Name/Hidden,Ukryta=19611
Behavior/Name/HotSPreseverLineSplashInhibitor,HotS Sukcesor Linia Rozbryzg, Przerywacz=19612
Behavior/Name/HotSPreseverLineSplashMissileScan,HotS Sukcesor Linia Rozbryzg, Pocisk, Skanowanie=19613
Behavior/Name/InvulnerabilityShield,Osłona niewrażliwości=19614
Behavior/Name/KickBlocker,Odrzucenie blokady=19615
Behavior/Name/LaserSight,Laserowy celownik=19616
Behavior/Name/LaserTargeting,Laser Celowanie=19617
Behavior/Name/LocustMPTimedLife,Szarańcza MP Ograniczony czas życia=19618
Behavior/Name/MakeCreep5x5,Stwórz biomasę 5x5=19619
Behavior/Name/MakeCreepNydusAttacker,Twórz biomasę, Nydus, Napastnik=19620
Behavior/Name/MakeCreepNydusCreeper,Twórz biomasę, Nydus, Creeper=19621
Behavior/Name/MakeNeutral,Stwórz neutralną=19622
Behavior/Name/MassiveVoidRayVulnerability,Duża wrażliwość promienia otchłani=19623
Behavior/Name/MaximumThrust,Maksymalny ciąg=19624
Behavior/Name/MedivacSpeedBoost,Dopalacze włączone=19625
Behavior/Name/MercenaryCycloneMissiles,Najemnik Pociski „Cyklon”=19626
Behavior/Name/MercenarySensorDish,Najemnik Talerz radarowy=19627
Behavior/Name/MercenaryShield,Najemnik Osłona=19628
Behavior/Name/MineDroneCountdown,Detonacja wdowiej miny=19629
Behavior/Name/MineDroneDOT,Mina Robotnica =19630
Behavior/Name/MineralFieldMineralsNoRemove,Minerały z pola, Nie usuwaj=19631
Behavior/Name/MothershipCoreDisableAttack,Rdzeń statku-matki, Wyłącz atak=19632
Behavior/Name/MothershipCoreEnergizeVisual,Energetyzacja=19633
Behavior/Name/MothershipCorePurifyNexus,Rdzeń statku-matki Oczyść Nexus=19634
Behavior/Name/MothershipCoreRecalled,Rdzeń statku-matki – Wezwanie powrotne=19635
Behavior/Name/MothershipCoreRecalling,Rdzeń statku-matki – Wzywanie powrotne=19636
Behavior/Name/MothershipCoreWeapon,Rdzeń statku-matki, Broń=19637
Behavior/Name/MothershipResetEnergy,Statek-matka Resetuj Energia=19638
Behavior/Name/MothershipStasis,Staza=19639
Behavior/Name/MothershipStasisCaster,Staza=19640
Behavior/Name/MultiplayerLootSpawner,Łup trybu dla wielu graczy – powijacz=19641
Behavior/Name/NeuralParasiteEffect,Pasożyt neuronalny, Efekt=19642
Behavior/Name/NexusDeath,Nexus – Śmierć=19643
Behavior/Name/NexusInvulnerability,Nexus Niewrażliwość=19644
Behavior/Name/NexusPhaseShift,Nexus Przesunięcie fazowe=19645
Behavior/Name/NullField,Pole nicości=19646
Behavior/Name/NydusDestroyerInvulnerability,Niszczyciel nydusowy - Niewrażliwość=19647
Behavior/Name/OdinMatrixDummy,Odyn, Matryca obronna, Atrapa=19648
Behavior/Name/OracleCloakField,Pole maskujące=19649
Behavior/Name/OracleCloakFieldEffect,Z maskowaniem=19650
Behavior/Name/OracleNoCloak,Wyrocznia – Brak maskowania=19651
Behavior/Name/OracleRevelation,Ujawniono=19652
Behavior/Name/PatrolSpeed,Szybkość patrolowania=19653
Behavior/Name/PhaseShield,Osłona fazowa=19654
Behavior/Name/PostWarp,Postprzesył=19655
Behavior/Name/PreWarp,Wstępny przesył=19656
Behavior/Name/PrecursorBurrowChargeImpact,Prekursor Zagrzebanie Szarża Trafienie=19657
Behavior/Name/PrecursorCore,Prekursor Rdzeń=19658
Behavior/Name/PrecursorCreepTumor,Prekursor – Tumor biomasy=19659
Behavior/Name/PrecursorLocust,Prekursor – Szarańcza=19660
Behavior/Name/PrecursorYoink,Prekursor – Zonk=19661
Behavior/Name/ProtectiveBarrier,Bariera ochronna=19662
Behavior/Name/Purify,Przeciążenie fotonowe=19663
Behavior/Name/QueenFlying,Królowa – Leci=19664
Behavior/Name/RawTerrazineGeyserGas,Zbieralny nierafinowany terrazyt z gejzera=19665
Behavior/Name/ReaperRegen,Regeneracja żniwiarza=19666
Behavior/Name/Remove,Usuń=19667
Behavior/Name/Rescue,Uratuj=19668
Behavior/Name/ResourceBlocker,Osłona minerałów=19669
Behavior/Name/ResourceBlockerConjoined,Osłona minerałowa – połączona=19670
Behavior/Name/ResourceStun,Osłona minerałów=19671
Behavior/Name/RestoreShields,Przywróć osłony=19672
Behavior/Name/Reveal,Ujawnij=19673
Behavior/Name/Revelation,Ujawniono=19674
Behavior/Name/RockCrushSearch,Skała Zmiażdżenie (Wyszukiwanie)=19675
Behavior/Name/RoughTerrainSearch,Trudny teren – Szukaj=19676
Behavior/Name/RoughTerrainSlow,Trudny teren – Zwolnij=19677
Behavior/Name/SalvageBaneling,Złomuj – tępiciel=19678
Behavior/Name/SalvageDrone,Złomuj – robotnica=19679
Behavior/Name/SalvageHydralisk,Złomuj – hydralisk=19680
Behavior/Name/SalvageInfestor,Złomuj – infektor=19681
Behavior/Name/SalvageQueen,Złomuj – królowa=19682
Behavior/Name/SalvageReaper,Złomuj Żniwiarz=19683
Behavior/Name/SalvageRoach,Złomuj – karakan=19684
Behavior/Name/SalvageSwarmHost,Złomuj – nosiciel roju=19685
Behavior/Name/SalvageUltralisk,Złomuj – ultralisk=19686
Behavior/Name/SalvageZergling,Złomuj – zergling=19687
Behavior/Name/ScourgeSporeBurrowFirst,Zarodnik zmory, Zagrzeb najpierw=19688
Behavior/Name/ScourgeSporeInvulnerable,Zarodnik zmory, Niewrażliwość=19689
Behavior/Name/ScourgeSporeTimedLife,Zarodnik zmory, Ograniczony czas życia=19690
Behavior/Name/Scryer,Zarządź=19691
Behavior/Name/ScryerFriendly,Zarządź=19692
Behavior/Name/SingleRecalled,Pojedyncze przywołanie=19693
Behavior/Name/SingleRecalling,Pojedyncze przywoływanie=19694
Behavior/Name/SmokeScreenTimedLife,Zasłona dymna – czas trwania=19695
Behavior/Name/SpawnInfestedMarines,Powij zainfekowanych marines=19696
Behavior/Name/SpectreShield,Osłona widma=19697
Behavior/Name/Stasis,Staza=19698
Behavior/Name/StunRoundInitialBehavior,Ogłuszenie Pocisk Początkowe Zachowanie=19699
Behavior/Name/SuppressCollision,Wstrzymanie kolizji=19700
Behavior/Name/SuppressMoving,Wstrzymanie ruchu=19701
Behavior/Name/SwarmHostEggAnimationDefault,Nosiciel roju, Animacja jaja, Domyślna=19702
Behavior/Name/SwarmHostEggAnimationMP,Nosiciel roju, Animacja jaja=19703
Behavior/Name/TentaclesForce,Macki, Siła=19704
Behavior/Name/TrainInfestedTerran,Wyszkol – Zainfekowany terranin=19705
Behavior/Name/UltraliskBurrowChargeHold,Ultralisk – podziemna szarża, Przytrzymaj=19706
Behavior/Name/UltraliskBurrowChargeKnockback,Ultralisk – podziemna szarża, Odrzucenie=19707
Behavior/Name/ViperConsume,Pochłoń=19708
Behavior/Name/ViperConsumeMinerals,Pochłoń minerały=19709
Behavior/Name/ViperConsumeStructure,Pochłoń=19710
Behavior/Name/VoidSiphon,Wyssanie otchłani=19711
Behavior/Name/VolatileBurstBuilding,Niestabilny rozprysk, Budowla=19712
Behavior/Name/VortexExit,Wir, Wyjście=19713
Behavior/Name/WidowMineAnimationController,Wdowia Mina Animacja Kontroler=19714
Behavior/Name/WidowMineArmed,Uzbrajanie wdowiej miny=19715
Behavior/Name/WidowMineDelayRemoveAB,Wdowia mina usuń opóźnienie AB=19716
Behavior/Name/Yoink,Porwanie=19717
Behavior/Name/YoinkMarker,Zonk, Znacznik=19718
Behavior/Name/YoinkTentacle,Zonk, Macka=19719
Behavior/Name/YoinkWait,Zonk Czekaj=19720
Behavior/Name/ZergArtilleryDeath,Zergi Artyleria – Śmierć=19721
Behavior/Tooltip/BlindingCloud,Zasięg ataku zmniejszony do walk w zwarciu.=19722
Behavior/Tooltip/BlindingCloudStructure,Zasięg ataku zmniejszony do walk w zwarciu.=19723
Behavior/Tooltip/CorruptorGroundAttackDebuff,Jednostki i budowle pokryte osłabiającym szlamem, otrzymują od przeciwników 1 pkt. obrażeń więcej.=19724
Behavior/Tooltip/InvulnerabilityShield,Jednostka niewrażliwa na ataki i zdolności.=19725
Behavior/Tooltip/MineDroneCountdown,Po <d time="10"/> wdowia mina wybuchnie zadając obrażenia rozpryskowe.=19726
Behavior/Tooltip/MothershipCoreEnergizeVisual,Poziom energii wraca do maksimum.=19727
Behavior/Tooltip/NexusPhaseShift,Niewrażliwa. Nie może atakować ani używać zdolności.=19728
Behavior/Tooltip/OracleCloakField,Maskuje pobliskie jednostki.=19729
Behavior/Tooltip/OracleCloakFieldEffect,Maskowanie przez pobliską wyrocznię.=19730
Behavior/Tooltip/OracleRevelation,Jednostka lub budowla umożliwia podgląd temu, kto użył umiejętności. /// This unit or structure is providing vision for the caster.=19731
Behavior/Tooltip/Revelation,Jednostka może wykrywać zamaskowane lub zagrzebane jednostki znajdujące się w polu jej widzenia.=19732
Behavior/Tooltip/Scryer,Sprawia, że wroga budowla umożliwia temu, kto użył umiejętności podgląd i pokazuje, co w niej powstaje.=19733
Behavior/Tooltip/ScryerFriendly,Pozwala rzucającemu widzieć dalej.=19734
Behavior/Tooltip/ViperConsumeStructure,Żmij pochłania budowlę, żeby zdobyć energię.=19735
Button/Name/APC,Transporter opancerzony=19736
Button/Name/APCLoad,Transporter opancerzony – Załaduj=19737
Button/Name/APCUnloadAll,Transporter opancerzony Wyładuj wszystkich=19738
Button/Name/BanelingBurrowMove,Wyewoluuj szczęki kopiące=19739
Button/Name/BattlecruiserWeaponsIgnoreArmor,Przenika pancerz=19740
Button/Name/BlindingCloud,Oślepiający obłok=19741
Button/Name/Bombardment,Bombardowanie=19742
Button/Name/BotMode,Tryb robota=19743
Button/Name/BridgeExtend,Most – wysuń=19744
Button/Name/BridgeRetract,Most – cofnij=19745
Button/Name/BuildingShield,Budowla Osłona=19746
Button/Name/BuildingStasis,Przesunięcie fazowe=19747
Button/Name/BurrowChargeMP,Podziemna szarża=19748
Button/Name/BurrowLurkerMP,Zagrzebanie=19749
Button/Name/CancelMothershipMorph,Anuluj=19750
Button/Name/CliffJumper,Skoczek klifowy=19751
Button/Name/CloakUnit,Jednostka z maskowaniem=19752
Button/Name/Clone,Klon=19753
Button/Name/CombatAwareness,Skupienie bojowe=19754
Button/Name/CombatDrugs,Specyfiki bojowe=19755
Button/Name/CritterFlee,Ucieczka stwora=19756
Button/Name/CycloneMissiles,Kup pociski „Cyklon”=19757
Button/Name/DefensiveMatrixOdin,Matryca obronna=19758
Button/Name/Digester,Trawiciel=19759
Button/Name/DigesterCreepSpray,Biomasa – rozprysk=19760
Button/Name/DisableBuildingAttackSplitterling,Wyłącz atakowanie budowli=19761
Button/Name/DodgeDrone,Unik – robotnica=19762
Button/Name/DodgeDronePassive,Unik Robotnica Bierny=19763
Button/Name/EnergyTransfer,Transfer energii=19764
Button/Name/Engage,Zaatakuj=19765
Button/Name/EvolveBurrowCharge,Wyewoluuj podziemną szarżę=19766
Button/Name/ExitPurifyMode,Wyjdź z trybu oczyszczania=19767
Button/Name/EyeStalk,Szypułka oczna=19768
Button/Name/FaceEmbrace,Porwanie=19769
Button/Name/FlyerShield,Osłona latających=19770
Button/Name/HellionTank,Stwórz helbata=19771
Button/Name/HotSPreserverLineSplash,HotS Sukcesor Linia Rozbryzg=19772
Button/Name/InvulnerabilityShield,Osłona niewrażliwości=19773
Button/Name/LoadDigester,Załaduj Trawiciela=19774
Button/Name/LocustMP,Szarańcza=19775
Button/Name/LurkerDenMP,Nora czyhaczy =19776
Button/Name/LurkerMP,Przekształć w czyhacza =19777
Button/Name/LurkerMPFromHydraliskBurrowed,Czyhacz MP Z hydraliska Zagrzebany=19778
Button/Name/MPOdin,MPOdyn=19779
Button/Name/MassiveKnockover,Potężne potrącenie=19780
Button/Name/MaximumThrust,Maksymalny ciąg=19781
Button/Name/MedivacSpeedBoost,Uruchom dopalacze=19782
Button/Name/MineLayerArm,Rozstawiacz min Uzbrój=19783
Button/Name/MineLayerAttack,Rozstawiacz min, Atak=19784
Button/Name/MineLayerBurrow,Rozstawiacz min, Zagrzeb=19785
Button/Name/MineLayerUnburrow,Rozstawiacz min, Wygrzeb=19786
Button/Name/MissileLauncher,Wyrzutnia rakiet=19787
Button/Name/MissileLauncherRecharge,Wyrzutnia rakiet Naładuj=19788
Button/Name/MissileLauncherStrike,Wyrzutnia rakiet, Atak=19789
Button/Name/MissileLauncherTower,Wieża wyrzutni rakiet=19790
Button/Name/MissileTank,Pocisk – czołg=19791
Button/Name/MissileTankAttack,Pocisk Czołg Atak=19792
Button/Name/MissileTankRegen,Pocisk – czołg – regeneracja=19793
Button/Name/MorphToHellion,Tryb heliona=19794
Button/Name/MorphToHellionTank,Tryb helbata=19795
Button/Name/MorphToMothership,Ulepsz do statku-matki=19796
Button/Name/MorphToSwarmHostBurrowedMP,Zagrzeb – gniazdo=19797
Button/Name/MorphToSwarmHostMP,Wygrzeb=19798
Button/Name/MorphtoLocustMP,PrzekształćW – Szarańcza =19799
Button/Name/MothershipCore,Przyzwij rdzeń statku-matki=19800
Button/Name/MothershipCoreEnergize,Energetyzacja=19801
Button/Name/MothershipCoreMassRecall,Przywołanie zbiorcze=19802
Button/Name/MothershipCoreTeleport,Teleportacja=19803
Button/Name/MothershipCoreWeapon,Przeciążenie fotonowe=19804
Button/Name/MothershipStasis,Staza=19805
Button/Name/MuscularAugments,Wyewoluuj wzmocnienia mięśni=19806
Button/Name/NexusInvulnerability,Niewrażliwość=19807
Button/Name/NexusPhaseShift,Przesunięcie fazowe=19808
Button/Name/ObeliskMP,Obelisk =19809
Button/Name/ObeliskRecharge,Obelisk – Naładuj=19810
Button/Name/OdinMatrix,Odyn, Matryca=19811
Button/Name/Oracle,Przyzwij wyrocznię=19812
Button/Name/OracleCloakField,Pole maskujące=19813
Button/Name/OracleEnergyUpgrade,Opracuj rdzeń bozonowy=19814
Button/Name/OracleHallucination,Przyzwij halucynację wyroczni=19815
Button/Name/OracleNormalMode,Tryb latania=19816
Button/Name/OracleRevelation,Ujawnianie=19817
Button/Name/OracleRevelationMode,Tryb ujawniania=19818
Button/Name/ParalyticSpines,Paraliżujące kolce=19819
Button/Name/ParasiticInvasion,Inwazja pasożytnicza=19820
Button/Name/PhaseShield,Osłona fazowa=19821
Button/Name/PhoenixRangeUpgrade,Opracuj anionowe kryształy impulsowe=19822
Button/Name/PickupPalletGas,Znajdźka – Paleta – Gaz=19823
Button/Name/PickupPalletMinerals,Znajdźka – Paleta – Minerały=19824
Button/Name/PickupScrapLarge,Znajdźka – Złom – duży=19825
Button/Name/PickupScrapMedium,Znajdźka – Złom – średni=19826
Button/Name/PickupScrapSmall,Znajdźka – Złom – mały=19827
Button/Name/PosthumousMitosis,Pośmiertna mitoza=19828
Button/Name/PylonPower,Moc pylonu=19829
Button/Name/QueenFly,Królowa – Leć=19830
Button/Name/QueenLand,Królowa – Ląduj=19831
Button/Name/RallyOverlord,Ustaw punkt zborny nadrządców=19832
Button/Name/RapidGenesis,Gwałtowna geneza=19833
Button/Name/RapidMutation,Gwałtowna mutacja=19834
Button/Name/ResearchCombatDrugs,Opracuj specyfiki bojowe=19835
Button/Name/ResearchLocustLifetimeIncrease,Wyewoluuj wytrzymalszą szarańczę=19836
Button/Name/ResearchTransformationServos,Opracuj serwomechanizmy transformacji=19837
Button/Name/ResourceBlocker,Osłona minerałów=19838
Button/Name/ResourceRaider,Złodziej minerałów=19839
Button/Name/ResourceStun,Pogrzebanie=19840
Button/Name/RestoreShields,Przywróć osłony=19841
Button/Name/RoachPassive,Karakan=19842
Button/Name/STBomber,STbombowiec=19843
Button/Name/Scryer,Zarządź=19844
Button/Name/SerratedSpike,Żłobkowany kolec=19845
Button/Name/SetRallyPointSwarmHost,Ustaw punkt zborny=19846
Button/Name/SingleRecall,Przyzwij=19847
Button/Name/SnipeDoT,Strzał snajperski Do =19848
Button/Name/Spawn,Powij=19849
Button/Name/SpawnBanelings,Przyzwanie tępicieli=19850
Button/Name/SpawnBroodlings,Powij pomioty=19851
Button/Name/SpawnHydralisks,Powij hydraliski=19852
Button/Name/SpawnSwarmLarva,Powij rój larw=19853
Button/Name/SpawnUltralisk,Powij ultraliska=19854
Button/Name/SpectreMP,Widmo=19855
Button/Name/SpectreShield,Osłona widma=19856
Button/Name/SpineCrawlerPassive,Kręgowij=19857
Button/Name/SpiralHooks,Spiralne haczyki=19858
Button/Name/SpontaneousGestation,Gwałtowny rozwój=19859
Button/Name/SporeCrawlerPassive,Pełzacz zarodnikowy=19860
Button/Name/Spyrocites,Spirocyty=19861
Button/Name/SummonNydusCanalAttacker,Wezwij niszczyciela nydusowego=19862
Button/Name/SummonNydusCanalCreeper,Wezwij wieżę biomasy=19863
Button/Name/SwarmHost,Powij szarańczę=19864
Button/Name/SwarmHostMP,Przekształć w nosiciela roju=19865
Button/Name/SwarmHostPassive,Nosiciel roju=19866
Button/Name/Tempest,Przyzwij orkan=19867
Button/Name/TempestRangeUpgrade,Opracuj reaktor kwantowy=19868
Button/Name/Threatening,Zagrożenie=19869
Button/Name/TissueAssimilation,Asymilacja tkanki=19870
Button/Name/TornadoMissile,Pociski „Haywire”=19871
Button/Name/TributaryDigestiveTract,Przepływowy układ trawienny=19872
Button/Name/UltraliskBurrowCharge,Podziemna szarża=19873
Button/Name/UltraliskPassive,Ultralisk=19874
Button/Name/UltraliskWeaponCooldown,Ultralisk Broń Czas odnowienia=19875
Button/Name/UnifiedWill,Zjednoczona wola=19876
Button/Name/VehicleMode,Tryb pojazdu=19877
Button/Name/VenomSacs,Worki jadowe=19878
Button/Name/ViciousGlaive,Wściekła glewia=19879
Button/Name/Viper,Przekształć w żmija=19880
Button/Name/ViperConsume,Pochłoń=19881
Button/Name/ViscousDischarge,Wściekłe wyładowanie=19882
Button/Name/Vitality,Żywotność=19883
Button/Name/VoidSiphon,Wyssanie otchłani=19884
Button/Name/WarHound,Zbuduj ogara=19885
Button/Name/WarpShipRecall,Statek przesyłowy Przywołanie=19886
Button/Name/WeightedSpines,Wyważone kolce=19887
Button/Name/WidowMine,Stwórz wdowią minę=19888
Button/Name/WidowMineAttack,Atak=19889
Button/Name/WidowMineBioSplash,Pociski Argus=19890
Button/Name/WidowMineBurrow,Uzbrój minę=19891
Button/Name/WidowMineUnburrow,Rozbrój minę=19892
Button/Name/XelNagaHealingShrine,Xel Naga Kapliczka lecząca=19893
Button/Name/XelNaga_Caverns_DoorDefaultClose,Jaskinie xel'naga, Drzwi, Domyślnie, Zamknij=19894
Button/Name/XelNaga_Caverns_DoorDefaultOpen,Jaskinie xel'naga, Drzwi, Domyślnie, Otwórz=19895
Button/Name/ZergBurrowMove,Wyewoluuj zagrzebanie – ruch=19896
Button/Name/ZerglingPassive,Zergling=19897
Button/Tooltip/Anteplott,Stworzenie zamieszkujące strefy arktyczne i posiadające dziwne narośla na głowie.=19898
Button/Tooltip/Artosilope,Wysoce inteligentne i sprytne stworzenie.=19899
Button/Tooltip/BanelingBurrowMove,Tępiciele mogą się poruszać, gdy są zagrzebane.=19900
Button/Tooltip/BattlecruiserWeaponsIgnoreArmor,Atak przenika pancerz celu.=19901
Button/Tooltip/BlindingCloud,Tworzy obłok, który utrzymuje się przez <d ref="(Effect,BlindingCloudCP,PeriodCount + 1) * Effect,BlindingCloudCP,PeriodicPeriodArray[0]"/> sek. i zmniejsza zasięg ataku jednostkom naziemnym do zasięgu walki wręcz.=19902
Button/Tooltip/Bombardment,Zasypuje obszar docelowy bombami przez <d ref="Effect,BombardmentCreatePersistent,PeriodCount * Effect,BombardmentCreatePersistent,PeriodicPeriodArray[0]"/> s. zadając do <d ref="Effect,BombardmentDamage,Amount * (Effect,BombardmentCreatePersistent,PeriodCount + 1)"/> (<d ref="(Effect,BombardmentDamage,Amount + Effect,BombardmentDamage,AttributeBonus[7]) * (Effect,BombardmentCreatePersistent,PeriodCount + 1)"/> vs Structures) pkt. obrażeń wszystkim jednostkom naziemnym.=19903
Button/Tooltip/BuildingShield,Sojusznicza budowla otrzymuje broń przeciwko lekkim jednostkom. Trwa <d ref="Behavior,BuildingShield,Duration"/> s.=19904
Button/Tooltip/BuildingStasis,Budowla docelowa znika na <d ref="Behavior,BuildingStasis,Duration"/> s. Nie można jej wtedy atakować, używać zdolności, zapewniać mocy ani technologii.<n/><n/><c val="#ColorAttackInfo">Budowle masywne są odporne.</c>=19905
Button/Tooltip/BurrowCharge,Zagrzeb się i zaatakuj jednostkę. Zasięg – 8.=19906
