AUTHENTICATION_BETA_REGION,– бета=0
Abil/Name/WidowMineUnburrow,Мина «Вдова» выкапывание=19490
Abil/Name/XelNagaHealingShrine,Исцеляющий алтарь зел-нага=19491
Abil/Name/XelNaga_Caverns_DoorDefaultClose,Xel'Naga Caverns Door Default Close=19492
Abil/Name/XelNaga_Caverns_DoorDefaultLower,Xel'Naga Caverns Door Default Lower=19493
Abil/Name/XelNaga_Caverns_DoorDefaultOpen,Xel'Naga Caverns Door Default Open=19494
Abil/Name/XelNaga_Caverns_DoorDefaultRaise,Xel'Naga Caverns Door Default Raise=19495
Abil/Name/XelNaga_Caverns_DoorE,Xel'Naga Caverns Door E=19496
Abil/Name/XelNaga_Caverns_DoorEOpened,Xel'Naga Caverns Door E Opened=19497
Abil/Name/XelNaga_Caverns_DoorN,Xel'Naga Caverns Door N=19498
Abil/Name/XelNaga_Caverns_DoorNE,Xel'Naga Caverns Door NE=19499
Abil/Name/XelNaga_Caverns_DoorNEOpened,Xel'Naga Caverns Door NE Opened=19500
Abil/Name/XelNaga_Caverns_DoorNOpened,Xel'Naga Caverns Door N Opened=19501
Abil/Name/XelNaga_Caverns_DoorNW,Xel'Naga Caverns Door NW=19502
Abil/Name/XelNaga_Caverns_DoorNWOpened,Xel'Naga Caverns Door NW Opened=19503
Abil/Name/XelNaga_Caverns_DoorS,Xel'Naga Caverns Door S=19504
Abil/Name/XelNaga_Caverns_DoorSE,Xel'Naga Caverns Door SE=19505
Abil/Name/XelNaga_Caverns_DoorSEOpened,Xel'Naga Caverns Door SE Opened=19506
Abil/Name/XelNaga_Caverns_DoorSOpened,Xel'Naga Caverns Door S Opened=19507
Abil/Name/XelNaga_Caverns_DoorSW,Xel'Naga Caverns Door SW=19508
Abil/Name/XelNaga_Caverns_DoorSWOpened,Xel'Naga Caverns Door SW Opened=19509
Abil/Name/XelNaga_Caverns_DoorW,Xel'Naga Caverns Door W=19510
Abil/Name/XelNaga_Caverns_DoorWOpened,Xel'Naga Caverns Door W Opened=19511
Abil/Name/XelNaga_Caverns_Floating_BridgeH10,Xel'Naga Caverns Floating Bridge - H - Height 10 - Retract=19512
Abil/Name/XelNaga_Caverns_Floating_BridgeH10Out,Xel'Naga Caverns Floating Bridge - H - Height 10 - Extend=19513
Abil/Name/XelNaga_Caverns_Floating_BridgeH12,Xel'Naga Caverns Floating Bridge - H - Height 12 - Retract=19514
Abil/Name/XelNaga_Caverns_Floating_BridgeH12Out,Xel'Naga Caverns Floating Bridge - H - Height 12 - Extend=19515
Abil/Name/XelNaga_Caverns_Floating_BridgeH8,Xel'Naga Caverns Floating Bridge - H - Height 8 - Retract=19516
Abil/Name/XelNaga_Caverns_Floating_BridgeH8Out,Xel'Naga Caverns Floating Bridge - H - Height 8 - Extend=19517
Abil/Name/XelNaga_Caverns_Floating_BridgeNE10,Xel'Naga Caverns Floating Bridge - NE - Height 10 - Retract=19518
Abil/Name/XelNaga_Caverns_Floating_BridgeNE10Out,Xel'Naga Caverns Floating Bridge - NE - Height 10 - Extend=19519
Abil/Name/XelNaga_Caverns_Floating_BridgeNE12,Xel'Naga Caverns Floating Bridge - NE - Height 12 - Retract=19520
Abil/Name/XelNaga_Caverns_Floating_BridgeNE12Out,Xel'Naga Caverns Floating Bridge - NE - Height 12 - Extend=19521
Abil/Name/XelNaga_Caverns_Floating_BridgeNE8,Xel'Naga Caverns Floating Bridge - NE - Height - 8 - Retract=19522
Abil/Name/XelNaga_Caverns_Floating_BridgeNE8Out,Xel'Naga Caverns Floating Bridge - NE - Height - 8 - Extend=19523
Abil/Name/XelNaga_Caverns_Floating_BridgeNW10,Xel'Naga Caverns Floating Bridge - NW - Height 10 - Retract=19524
Abil/Name/XelNaga_Caverns_Floating_BridgeNW10Out,Xel'Naga Caverns Floating Bridge - NW - Height 10 - Extend=19525
Abil/Name/XelNaga_Caverns_Floating_BridgeNW12,Xel'Naga Caverns Floating Bridge - NW - Height 12 - Retract=19526
Abil/Name/XelNaga_Caverns_Floating_BridgeNW12Out,Xel'Naga Caverns Floating Bridge - NW - Height 12 - Extend=19527
Abil/Name/XelNaga_Caverns_Floating_BridgeNW8,Xel'Naga Caverns Floating Bridge - NW - Height 8 - Retract=19528
Abil/Name/XelNaga_Caverns_Floating_BridgeNW8Out,Xel'Naga Caverns Floating Bridge - NW - Height 8 - Extend=19529
Abil/Name/XelNaga_Caverns_Floating_BridgeV10,Xel'Naga Caverns Floating Bridge - V - Height 10 - Retract=19530
Abil/Name/XelNaga_Caverns_Floating_BridgeV10Out,Xel'Naga Caverns Floating Bridge - V - Height 10 - Extend=19531
Abil/Name/XelNaga_Caverns_Floating_BridgeV12,Xel'Naga Caverns Floating Bridge - V - Height 12 - Retract=19532
Abil/Name/XelNaga_Caverns_Floating_BridgeV12Out,Xel'Naga Caverns Floating Bridge - V - Height 12 - Extend=19533
Abil/Name/XelNaga_Caverns_Floating_BridgeV8,Xel'Naga Caverns Floating Bridge - V - Height 8 - Retract=19534
Abil/Name/XelNaga_Caverns_Floating_BridgeV8Out,Xel'Naga Caverns Floating Bridge - V - Height 8 - Extend=19535
Abil/Name/Yoink,Abduct=19536
Abil/Name/attackProtossBuilding,атаковать строение протоссов=19537
Abil/Name/burrowedBanelingStop,Stop=19538
Abil/Name/que8,Очередь (8)=19539
Abil/Name/stopProtossBuilding,Остановить строительство у протоссов=19540
Actor/HighlightTooltip/Ice2x2NonConjoined,Атакуйте объект, чтобы уничтожить его. /// Attack this to destroy it=19541
Behavior/Name/Angry,Злость /// Angry=19542
Behavior/Name/BattlecruiserAntiAirDisable,Крейсер - противовоздушная оборона - запрет /// Battlecruiser Anti Air Disable=19543
Behavior/Name/Benign,Уязвимый /// Benign=19544
Behavior/Name/BlindingCloud,Ослепляющее облако /// Blinding Cloud=19545
Behavior/Name/BlindingCloudStructure,Ослепляющее облако /// Blinding Cloud=19546
Behavior/Name/BuildingShield,Щит строения /// Building Shield=19547
Behavior/Name/BuildingStasis,Фазовый сдвиг /// Phase Shift=19548
Behavior/Name/BurrowCharge,Подземный рывок /// Burrow Charge=19549
Behavior/Name/BurrowChargeMPKnockback,Подземный рывок - сетевая игра - отбрасывание /// Burrow Charge MP Knockback=19550
Behavior/Name/BurrowCharging,Подземный рывок /// Burrow Charging=19551
Behavior/Name/BurrowChargingRevD,Подземный рывок - версия D /// Burrow Charging Rev D=19552
Behavior/Name/CapResource,Захватить ресурс /// Cap Resource=19553
Behavior/Name/CarryHarvestableTerrazineGeyserGas,Перенос газа - доступный терразиновый гейзер  /// Carry Harvestable Terrazine Geyser Gas=19554
Behavior/Name/CarryHarvestableTerrazineGeyserGasProtoss,Перенос газа - доступный терразиновый гейзер - протоссы /// Carry Harvestable Terrazine Geyser Gas Protoss=19555
Behavior/Name/CarryHarvestableTerrazineGeyserGasZerg,Перенос газа - доступный терразиновый гейзер  - зерги /// Carry Harvestable Terrazine Geyser Gas Zerg=19556
Behavior/Name/CarryMineralFieldMineralsNoRemove,Перенос минералов - без сброса /// Carry Mineral Field Minerals No Remove=19557
Behavior/Name/ChargeUp,Интенсивный режим /// Charge Up=19558
Behavior/Name/CloakUnit,Замаскировать единицу /// Cloak Unit=19559
Behavior/Name/Clone,Репликант /// Replicant=19560
Behavior/Name/CloneDummy,Клон-манекен /// Clone Dummy=19561
Behavior/Name/CollapsibleRockTower,Разрушаемая груда камней /// Collapsible Rock Tower=19562
Behavior/Name/CollapsibleRockTowerConjoined,Разрушаемая груда камней - смежная /// Collapsible Rock Tower Conjoined=19563
Behavior/Name/CollapsibleRockTowerConjoinedSearch,Разрушаемая груда камней (смежный поиск) /// Collapsible Rock Tower (Conjoined Search)=19564
Behavior/Name/CollapsibleRockTowerDiagonal,Разрушаемая груда камней - диагональная /// Collapsible Rock Tower Diagonal=19565
Behavior/Name/CollapsibleRockTowerFalling,Разрушаемая груда камней /// Collapsible Rock Tower=19566
Behavior/Name/CollapsibleRockTowerFallingRampLeft,Разрушаемая груда камней (левый склон) /// Collapsible Rock Tower Ramp Left=19567
Behavior/Name/CollapsibleRockTowerFallingRampRight,Разрушаемая груда камней (правый склон) /// Collapsible Rock Tower Ramp Right=19568
Behavior/Name/CollapsibleRockTowerRampDiagonalConjoinedSearch,Разрушаемая груда камней - склон - диагональный (смежный поиск) /// Collapsible Rock Tower Ramp/Diagonal (Conjoined Search)=19569
Behavior/Name/CollapsibleRockTowerRampLeft,Разрушаемая груда камней (левый склон) /// Collapsible Rock Tower (Ramp Left)=19570
Behavior/Name/CollapsibleRockTowerRampRight,Разрушаемая груда камней (правый склон) /// Collapsible Rock Tower (Ramp Right)=19571
Behavior/Name/CollapsibleTerranTower,Разрушаемая груда камней терранов /// Collapsible Terran Tower=19572
Behavior/Name/CollapsibleTerranTowerConjoined,Разрушаемая груда камней терранов - смежная /// Collapsible Terran Tower Conjoined=19573
Behavior/Name/CollapsibleTerranTowerConjoinedSearch,Разрушаемая терранская башня (смежный поиск) /// Collapsible Terran Tower (Conjoined Search)=19574
Behavior/Name/CollapsibleTerranTowerDiagonal,Разрушаемая груда камней терранов - диагональная /// Collapsible Terran Tower Diagonal=19575
Behavior/Name/CollapsibleTerranTowerFalling,Разрушаемая груда камней терранов - падающая /// Collapsible Terran Tower Falling=19576
Behavior/Name/CollapsibleTerranTowerRampDiagonalConjoinedSearch,Разрушаемая терранская башня - склон - диагональный (смежный поиск) /// Collapsible Terran Tower Ramp/Diagonal (Conjoined Search)=19577
Behavior/Name/CollapsibleTerranTowerRampLeft,Разрушаемая терранская башня (левый склон) /// Collapsible Terran Tower (Ramp Left)=19578
Behavior/Name/CollapsibleTerranTowerRampLeftFalling,Разрушаемая терранская башня (левый склон) /// Collapsible Terran Tower (Ramp Left)=19579
Behavior/Name/CollapsibleTerranTowerRampRight,Разрушаемая терранская башня (правый склон) /// Collapsible Terran Tower (Ramp Right)=19580
Behavior/Name/CollapsibleTerranTowerRampRightFalling,Разрушаемая терранская башня (правый склон) /// Collapsible Terran Tower (Ramp Right)=19581
Behavior/Name/CollapsibleTowerInvulnerable,Разрушаемая груда камней - неуязвимая /// Collapsible Tower Invulnerable=19582
Behavior/Name/CorruptorGroundAttackDebuff,Ослабляющая слизь /// Weakening Goo=19583
Behavior/Name/CritterFlee,Бегство существа /// Critter Flee=19584
Behavior/Name/DestructibleStatue4x4,Разрушаемая статуя /// Destructible Statue=19585
Behavior/Name/DestructibleStatueRubbleTimedLife,Разрушаемая статуя - завал - ограниченный срок /// Destructible Statue Rubble Timed Life=19586
Behavior/Name/Detector9,Detector9 /// Detector9=19587
Behavior/Name/DetectorProtossHeroShip,Детектор - элитный корабль протоссов /// Detector Protoss Hero Ship=19588
Behavior/Name/DigesterCreep,Перевариватель - слизь /// Digester Creep=19589
Behavior/Name/DigesterCreepSprayFinal,Перевариватель - фонтан слизи - завершение выброса /// Digester Creep Spray Final=19590
Behavior/Name/DigesterCreepSprayUnitTimedLife,Перевариватель - фонтан слизи - время существования /// Digester Creep Spray Unit Timed Life=19591
Behavior/Name/DigesterCreepSprayVision,Перевариватель - слизь - выброс - зона видимости /// DigesterCreepSprayVision=19592
Behavior/Name/DodgeDrone,Уклонение рабочего /// Dodge Drone=19593
Behavior/Name/DoomDamageDelay,Приговор - задержка перед нанесением урона /// Doom Damage Delay=19594
Behavior/Name/EMPBomb,ЭМИ-бомба /// EMP Bomb=19595
Behavior/Name/Engage,В бой! /// Engage=19596
Behavior/Name/ExtendBridgeExtend,Выдвижение выдвижного моста /// Extend Bridge Extend=19597
Behavior/Name/ExtendBridgeExtendingBridgeNEWide10Out,Выдвижение моста СВ ширина 10 /// Extend Bridge Extending Bridge NE Wide 10 Out=19598
Behavior/Name/ExtendBridgeExtendingBridgeNEWide12Out,Выдвижение моста СВ ширина 12 /// Extend Bridge Extending Bridge NE Wide 12 Out=19599
Behavior/Name/ExtendBridgeExtendingBridgeNEWide8Out,Выдвижение моста СВ ширина 8 /// Extend Bridge Extending Bridge NE Wide 8 Out=19600
Behavior/Name/ExtendBridgeExtendingBridgeNWWide10Out,Выдвижение моста СЗ ширина 10 /// Extend Bridge Extending Bridge NW Wide 10 Out=19601
Behavior/Name/ExtendBridgeExtendingBridgeNWWide12Out,Выдвижение моста СЗ ширина 12 /// Extend Bridge Extending Bridge NW Wide 12 Out=19602
Behavior/Name/ExtendBridgeExtendingBridgeNWWide8Out,Выдвижение моста СЗ ширина 8 /// Extend Bridge Extending Bridge NW Wide 8 Out=19603
Behavior/Name/EyeStalk,Глазной стебелек /// Eye Stalk=19604
Behavior/Name/FlyerShield,Щит воздушной единицы /// Flyer Shield=19605
Behavior/Name/GhostSnipeDoT,Снайперский выстрел фантома - периодический урон /// Ghost Snipe Do =19606
Behavior/Name/HarvestableTerrazineGeyserGas,Доступный терразиновый гейзер - газ /// Harvestable Terrazine Geyser Gas=19607
Behavior/Name/HarvestableTerrazineGeyserGasProtoss,Доступный терразиновый гейзер - газ - протоссы /// Harvestable Terrazine Geyser Gas Protoss=19608
Behavior/Name/HarvestableTerrazineGeyserGasZerg,Доступный терразиновый гейзер - газ - зерги /// Harvestable Terrazine Geyser Gas Zerg=19609
Behavior/Name/HellionTankReady,«Геллион» - танк готов /// Hellion Tank Ready=19610
Behavior/Name/Hidden,Скрытый /// Hidden=19611
Behavior/Name/HotSPreseverLineSplashInhibitor,HotS - хранитель - линейный всплеск - ингибитор /// HotS Preserver Line Splash Inhibitor=19612
Behavior/Name/HotSPreseverLineSplashMissileScan,HotS - хранитель - линейный всплеск - сканирование заряда /// HotS Preserver Line Splash Missile Scan=19613
Behavior/Name/InvulnerabilityShield,Щит неуязвимости /// Invulnerability Shield=19614
Behavior/Name/KickBlocker,Блокировщик ударов /// Kick Blocker=19615
Behavior/Name/LaserSight,Радиус действия лазера /// Laser Sight=19616
Behavior/Name/LaserTargeting,Наведение лазера /// Laser Targeting=19617
Behavior/Name/LocustMPTimedLife,Саранчид - сетевая игра - ограниченный срок /// Locust MP Timed Life=19618
Behavior/Name/MakeCreep5x5,Создание слизи 5х5 /// Make Creep 5x5=19619
Behavior/Name/MakeCreepNydusAttacker,Создание слизи - нидус - атакующий /// Make Creep Nydus Attacker=19620
Behavior/Name/MakeCreepNydusCreeper,Создание слизи - нидус - ползун /// Make Creep Nydus Creeper=19621
Behavior/Name/MakeNeutral,Делает нейтральным /// Make Neutral=19622
Behavior/Name/MassiveVoidRayVulnerability,Уязвимость крупных единиц к излучателю Пустоты /// Massive Void Ray Vulnerability=19623
Behavior/Name/MaximumThrust,Максимальный бросок /// Maximum Thrust=19624
Behavior/Name/MedivacSpeedBoost,«Форсаж» активирован=19625
Behavior/Name/MercenaryCycloneMissiles,Наемник - ракеты «Циклон» /// Mercenary Cyclone Missiles=19626
Behavior/Name/MercenarySensorDish,Наемник - диск датчика /// Mercenary Sensor Dish=19627
Behavior/Name/MercenaryShield,Наемник - щит /// Mercenary Shield=19628
Behavior/Name/MineDroneCountdown,Взрыв мины «Вдова» /// Widow Mine Detonating=19629
Behavior/Name/MineDroneDOT,Рабочий-добытчик /// Mine Drone =19630
Behavior/Name/MineralFieldMineralsNoRemove,Месторождение минералов - минералы - без сбора /// Mineral Field Minerals No Remove=19631
Behavior/Name/MothershipCoreDisableAttack,Ядро материнского корабля - запрет атаки /// Mothership Core Disable Attack=19632
Behavior/Name/MothershipCoreEnergizeVisual,Подзарядка /// Energize=19633
Behavior/Name/MothershipCorePurifyNexus,Ядро материнского корабля - режим воздаяния нексуса /// Mothership Core Purify Nexus=19634
Behavior/Name/MothershipCoreRecalled,Ядро материнского корабля - телепортирован /// Mothership Core Recalled=19635
Behavior/Name/MothershipCoreRecalling,Ядро материнского корабля - телепортация /// Mothership Core Recalling=19636
Behavior/Name/MothershipCoreWeapon,Ядро материнского корабля - оружие /// Mothership Core Weapon=19637
Behavior/Name/MothershipResetEnergy,Материнский корабль - сброс энергии=19638
Behavior/Name/MothershipStasis,Стазис /// Stasis=19639
Behavior/Name/MothershipStasisCaster,Стазис /// Stasis=19640
Behavior/Name/MultiplayerLootSpawner,Сетевая игра - генератор добычи /// Multiplayer Loot Spawner=19641
Behavior/Name/NeuralParasiteEffect,Нейропаразит - эффект=19642
Behavior/Name/NexusDeath,Нексус - уничтожение /// Nexus Death=19643
Behavior/Name/NexusInvulnerability,Нексус - неуязвимость /// Nexus Invulnerability=19644
Behavior/Name/NexusPhaseShift,Нексус - фазовый сдвиг /// Nexus Phase Shift=19645
Behavior/Name/NullField,Нуль-зона /// Null Field=19646
Behavior/Name/NydusDestroyerInvulnerability,Разрушитель нидуса - невосприимчивость к урону /// Nydus Destroyer Invulnerability=19647
Behavior/Name/OdinMatrixDummy,Матрица «Одина» - модель /// Odin Matrix Dummy=19648
Behavior/Name/OracleCloakField,Маскировочное поле /// Cloak Field=19649
Behavior/Name/OracleCloakFieldEffect,Замаскированная /// Cloaked=19650
Behavior/Name/OracleNoCloak,Оракул - отсутствие маскировки /// Oracle No Cloak=19651
Behavior/Name/OracleRevelation,Откровение /// Revealed=19652
Behavior/Name/PatrolSpeed,Скорость патрулирования /// Patrol Speed=19653
Behavior/Name/PhaseShield,Фазовый щит=19654
Behavior/Name/PostWarp,После вызова /// Post Warp=19655
Behavior/Name/PreWarp,Перед вызовом /// Pre Warp=19656
Behavior/Name/PrecursorBurrowChargeImpact,Прототип - зарыться - рывок - взаимодействие /// Precursor Burrow Charge Impact=19657
Behavior/Name/PrecursorCore,Ядро прототипа /// Precursor Core=19658
Behavior/Name/PrecursorCreepTumor,Прототип - опухоль /// Precursor Creep Tumor=19659
Behavior/Name/PrecursorLocust,Прототип - саранчид /// Precursor Locust=19660
Behavior/Name/PrecursorYoink,Прототип - вжик /// Precursor Yoink=19661
Behavior/Name/ProtectiveBarrier,Защитный барьер /// Protective Barrier=19662
Behavior/Name/Purify,Фотонная перегрузка=19663
Behavior/Name/QueenFlying,Королева - полет /// Queen Flying=19664
Behavior/Name/RawTerrazineGeyserGas,Терразиновый гейзер - природный газ /// Raw Terrazine Geyser Gas=19665
Behavior/Name/ReaperRegen,Головорез - восстановление /// Reaper Regen=19666
Behavior/Name/Remove,Удалить /// Remove=19667
Behavior/Name/Rescue,Спасение /// Rescue=19668
Behavior/Name/ResourceBlocker,Ограждение минералов /// Mineral Shield=19669
Behavior/Name/ResourceBlockerConjoined,Ограждение минералов - объединенное /// Mineral Shield Conjoined=19670
Behavior/Name/ResourceStun,Ограждение минералов /// Mineral Shield=19671
Behavior/Name/RestoreShields,Восстановить щиты /// Restore Shields=19672
Behavior/Name/Reveal,Обнаружить /// Reveal=19673
Behavior/Name/Revelation,Открыто /// Revealed=19674
Behavior/Name/RockCrushSearch,Камень - разбить - поиск /// Rock Crush Search=19675
Behavior/Name/RoughTerrainSearch,Ухабистая поверхность - поиск /// Rough Terrain Search=19676
Behavior/Name/RoughTerrainSlow,Ухабистая поверхность - замедление /// Rough Terrain Slow=19677
Behavior/Name/SalvageBaneling,Отпустить гиблинга /// Salvage Baneling=19678
Behavior/Name/SalvageDrone,Отпустить рабочего /// Salvage Drone=19679
Behavior/Name/SalvageHydralisk,Отпустить гидралиска /// Salvage Hydralisk=19680
Behavior/Name/SalvageInfestor,Отпустить заразителя /// Salvage Infestor=19681
Behavior/Name/SalvageQueen,Отпустить королеву /// Salvage Queen=19682
Behavior/Name/SalvageReaper,Отпустить головореза /// Salvage Reaper=19683
Behavior/Name/SalvageRoach,Отпустить таракана /// Salvage Roach=19684
Behavior/Name/SalvageSwarmHost,Отпустить роевика /// Salvage Swarm Host=19685
Behavior/Name/SalvageUltralisk,Отпустить ультралиска /// Salvage Ultralisk=19686
Behavior/Name/SalvageZergling,Отпустить зерглинга /// Salvage Zergling=19687
Behavior/Name/ScourgeSporeBurrowFirst,Споровый слепень - первоначальное закапывание /// Scourge Spore Burrow First=19688
Behavior/Name/ScourgeSporeInvulnerable,Споровый слепень - невосприимчивость к урону /// Scourge Spore Invulnerable=19689
Behavior/Name/ScourgeSporeTimedLife,Споровый слепень - ограниченный срок /// Scourge Spore Timed Life=19690
Behavior/Name/Scryer,Предопределение /// Preordain=19691
Behavior/Name/ScryerFriendly,Предопределение /// Preordain=19692
Behavior/Name/SingleRecalled,Одиночная цель - телепортирована /// Single Recalled=19693
Behavior/Name/SingleRecalling,Одиночная цель - процесс телепортации /// Single Recalling=19694
Behavior/Name/SmokeScreenTimedLife,Дымовая завеса - время существования /// Smoke Screen Timed Life=19695
Behavior/Name/SpawnInfestedMarines,Породить зараженных морпехов /// Spawn Infested Marines=19696
Behavior/Name/SpectreShield,Щит фантома /// Spectre Shield=19697
Behavior/Name/Stasis,Стазис /// Stasis=19698
Behavior/Name/StunRoundInitialBehavior,Период оглушения - первоначальный алгоритм /// Stun Round Initial Behavior=19699
Behavior/Name/SuppressCollision,Запретить столкновение /// Suppress Collision=19700
Behavior/Name/SuppressMoving,Запретить движение /// Suppress Moving=19701
Behavior/Name/SwarmHostEggAnimationDefault,Роевик - яйцо - анимация по умолчанию /// Swarm Host Egg Animation Default=19702
Behavior/Name/SwarmHostEggAnimationMP,Роевик - яйцо - анимация /// Swarm Host Egg Animation =19703
Behavior/Name/TentaclesForce,Щупальца - сила /// Tentacles Force=19704
Behavior/Name/TrainInfestedTerran,Обучение зараженного террана /// Train Infested Terran=19705
Behavior/Name/UltraliskBurrowChargeHold,Ультралиск - подземный рывок - остановиться /// Ultralisk Burrow Charge Hold=19706
Behavior/Name/UltraliskBurrowChargeKnockback,Ультралиск - подземный рывок - отбрасывание /// Ultralisk Burrow Charge Knockback=19707
Behavior/Name/ViperConsume,Поглощение /// Consume=19708
Behavior/Name/ViperConsumeMinerals,Поглощение минералов /// Consume Minerals=19709
Behavior/Name/ViperConsumeStructure,Поглощение /// Consume=19710
Behavior/Name/VoidSiphon,Поток Пустоты=19711
Behavior/Name/VolatileBurstBuilding,Кислотный взрыв строения /// Volatile Burst Building=19712
Behavior/Name/VortexExit,Воронка - выход /// Vortex Exit=19713
Behavior/Name/WidowMineAnimationController,Контроллер анимации мины «Вдова»=19714
Behavior/Name/WidowMineArmed,Заряженная мина «Вдова» /// Widow Mine Armed=19715
Behavior/Name/WidowMineDelayRemoveAB,Мина «Вдова» отсрочка удаление АВ /// Widow Mine Delay Remove AB=19716
Behavior/Name/Yoink,Притягивание /// Abduct=19717
Behavior/Name/YoinkMarker,Вжик - маркер /// Yoink Marker=19718
Behavior/Name/YoinkTentacle,Вжик - щупальце /// Yoink Tentacle=19719
Behavior/Name/YoinkWait,Вжик - ожидание /// Yoink Wait=19720
Behavior/Name/ZergArtilleryDeath,Артиллерия зергов - уничтожение /// Zerg Artillery Death=19721
Behavior/Tooltip/BlindingCloud,Дальность атаки уменьшена до дистанции ближнего боя. /// Attack range reduced to melee range.=19722
Behavior/Tooltip/BlindingCloudStructure,Дальность атаки уменьшена до дистанции ближнего боя. /// Attack range reduced to melee range.=19723
Behavior/Tooltip/CorruptorGroundAttackDebuff,Боевые единицы и строения, покрытые ослабляющей слизью, получают от всех атак на 1 ед. урона больше. /// Units and structures covered in Weakening Goo take +1 damage from attackers.=19724
Behavior/Tooltip/InvulnerabilityShield,Невосприимчивость к любым атакам и способностям /// Invulnerable to attacks and abilities=19725
Behavior/Tooltip/MineDroneCountdown,Мина «Вдова» взорвется через <d time="10"/> и нанесет урон по области.=19726
Behavior/Tooltip/MothershipCoreEnergizeVisual,Восстановление энергии до максимума. /// Energy is being recharged to maximum.=19727
Behavior/Tooltip/NexusPhaseShift,Эта боевая единица неуязвима. Она не может атаковать или применять способности. /// Invulnerable. Cannot attack or use abilities.=19728
Behavior/Tooltip/OracleCloakField,Маскирует находящиеся рядом войска. /// Cloaking nearby units.=19729
Behavior/Tooltip/OracleCloakFieldEffect,Эта боевая единица замаскирована полем находящегося рядом оракула. /// Cloaked by a nearby Oracle.=19730
Behavior/Tooltip/OracleRevelation,Эта единица или строение открывает обзор и позволяет следить за происходящим. /// This unit or structure is providing vision for the caster.=19731
Behavior/Tooltip/Revelation,Эта боевая единица может обнаруживать замаскированные или закопанные войска в поле обзора.=19732
Behavior/Tooltip/Scryer,Открывает обзор и позволяет следить за тем, что производится в этом строении. /// This structure is providing vision for the caster and allowing them to see what it is currently constructing.=19733
Behavior/Tooltip/ScryerFriendly,Обеспечивает заклинателю дополнительный радиус обзора. /// Provides increased vision to the caster.=19734
Behavior/Tooltip/ViperConsumeStructure,Стрекоза поглощает это строение, чтобы восполнить свою энергию. /// A Viper is consuming this structure to increase its energy.=19735
Button/Name/APC,БТР /// APC=19736
Button/Name/APCLoad,БТР - загрузить /// APC Load=19737
Button/Name/APCUnloadAll,БТР - выгрузить всех /// APC Unload All=19738
Button/Name/BanelingBurrowMove,Развить челюсти-землерои /// Evolve Tunneling Jaws=19739
Button/Name/BattlecruiserWeaponsIgnoreArmor,Игнорирование брони /// Ignore Armor=19740
Button/Name/BlindingCloud,Ослепляющее облако /// Blinding Cloud=19741
Button/Name/Bombardment,Артиллерийский обстрел /// Bombardment=19742
Button/Name/BotMode,Режим робота /// Bot Mode=19743
Button/Name/BridgeExtend,Выдвижение моста /// Bridge Extend=19744
Button/Name/BridgeRetract,Разведение моста /// Bridge Retract=19745
Button/Name/BuildingShield,Щит строения /// Building Shield=19746
Button/Name/BuildingStasis,Фазовый сдвиг /// Phase Shift=19747
Button/Name/BurrowChargeMP,Подземный рывок /// Burrow Charge=19748
Button/Name/BurrowLurkerMP,Закопаться=19749
Button/Name/CancelMothershipMorph,Отмена /// Cancel=19750
Button/Name/CliffJumper,Преодоление уступов /// Cliff Jumper=19751
Button/Name/CloakUnit,Замаскировать единицу /// Cloak Unit=19752
Button/Name/Clone,Клон /// Clone=19753
Button/Name/CombatAwareness,Готовность к бою /// Combat Awareness=19754
Button/Name/CombatDrugs,Экспресс-лечение /// Combat Drugs=19755
Button/Name/CritterFlee,Бегство существа /// Critter Flee=19756
Button/Name/CycloneMissiles,Приобрести ракеты «Циклон» /// Purchase Cyclone Missiles=19757
Button/Name/DefensiveMatrixOdin,Защитная матрица /// Defensive Matrix=19758
Button/Name/Digester,Перевариватель /// Digester=19759
Button/Name/DigesterCreepSpray,Фонтан слизи /// Creep Spray=19760
Button/Name/DisableBuildingAttackSplitterling,Не атаковать строения /// Disable Structure Attack=19761
Button/Name/DodgeDrone,Уклонение рабочего /// Dodge Drone=19762
Button/Name/DodgeDronePassive,Уклонение рабочего - пассивная способность /// Dodge Drone Passive=19763
Button/Name/EnergyTransfer,Энергопередача /// Energy Transfer=19764
Button/Name/Engage,В бой! /// Engage=19765
Button/Name/EvolveBurrowCharge,Развить подземный рывок /// Evolve Burrow Charge=19766
Button/Name/ExitPurifyMode,Выйти из режима воздаяния=19767
Button/Name/EyeStalk,Глазной стебелек /// Eye Stalk=19768
Button/Name/FaceEmbrace,Притягивание /// Abduct=19769
Button/Name/FlyerShield,Щит воздушной единицы /// Flyer Shield=19770
Button/Name/HellionTank,Построить «Геллитрон»=19771
Button/Name/HotSPreserverLineSplash,HotS - хранитель - линейный всплеск /// HotS Preserver Line Splash=19772
Button/Name/InvulnerabilityShield,Непробиваемый щит /// Invulnerability Shield=19773
Button/Name/LoadDigester,Загрузить перевариватель /// Load Digester=19774
Button/Name/LocustMP,Саранчид /// Locust=19775
Button/Name/LurkerDenMP,Пещера скрытней /// Lurker Den =19776
Button/Name/LurkerMP,Мутировать в скрытня /// Morph to Lurker =19777
Button/Name/LurkerMPFromHydraliskBurrowed,Скрытень - СИ - мутация гидралиска в закопанном состоянии /// Lurker MPFrom Hydralisk Burrowed=19778
Button/Name/MPOdin,СИ - «Один» /// MPOdin=19779
Button/Name/MassiveKnockover,Массовое опрокидывание /// Massive Knockover=19780
