AUTHENTICATION_BETA_REGION,Bêta=0
Skin/Info/Assimilator,Même les Protoss, pourtant à la pointe de la technologie, apprécient les myriades d’applications possibles du gaz vespène. C’est pourquoi ils ont développé des assimilateurs afin d’extraire cette précieuse ressource.=16310
Skin/Info/AssimilatorForged,Les assimilateurs Tal’darim, qui se gorgent de gaz vespène dans les entrailles des planètes, provoquent des séismes dévastateurs pour les écosystèmes en surface.=16311
Skin/Info/AssimilatorIhanrii,Les Protoss ihan-rii pensent faire preuve de générosité en laissant les Terrans arpenter leur monde natal sacré, Arakyr, sans parler du fait qu’ils les laissent également en extraire du gaz vespène.=16312
Skin/Info/AssimilatorTaldarim,Info d’assimilateur taldarim=16313
Skin/Info/Baneling,Observés pour la première fois lors du siège de Cask, les chancres sont nés d’une évolution des zerglings. Cette souche extrêmement instable libère, en explosant, un acide capable de venir à bout de la plupart des matériaux.=16314
Skin/Info/BanelingMecha,La reconstitution du chancre a représenté un défi sans précédent pour les ingénieurs, car les poches d’acide collectées avec soin faisaient fondre l’infrastructure de l’armure. Mais ce problème a fini par être résolu.=16315
Skin/Info/BanelingNest,Toutes les colonies de Zergs disposent d’un nid dont le rôle est de préserver le code génétique des chancres. Une fois le nid établi, les zerglings sur le champ de bataille peuvent se transformer en chrysalide de chair dont émergera un chancre, créature répugnante et boursouflée qui transporte sur le dos de palpitantes poches d’acide vert.=16316
Skin/Info/BanelingNestMecha,Pour maintenir la partie supérieure du nid de chancres en l’air, les ingénieurs du projet Réplicant ont eu recours à la technologie antigravité des cuirassés terrans.=16317
Skin/Info/BanelingNestRCZ,Pour déclencher l’effondrement des fortifications clés des Terrans, les nids de chancres de Cerbère ont été piégés afin d’exploser dans le réseau souterrain de tout Tyrador IX.=16318
Skin/Info/BanelingPrimal,Inspiré par les chancres de l’essaim de Kerrigan, Dehaka a encouragé la même mutation sur une souche similaire de créatures au sein de sa meute. =16319
Skin/Info/BanelingRCZ,Était-il bien nécessaire de remplacer l’intégralité du système nerveux des chancres, destinés, avant tout, à exploser ? Par chance, les clients de Cerbère semblent avoir de l’argent à ne plus savoir qu’en faire.=16320
Skin/Info/BanelingWebby,Les excroissances typiques des zerglings de la couvée léviathan se retrouvent à la surface des poches à acide des chancres, signe que même une métamorphose complète ne saurait changer leur essence chaotique.=16321
Skin/Info/Banshee,La conception de la Banshee par la société Procyon Industries devait répondre à deux principaux objectifs : efficacité et rendement. L’aéronef, pensé pour fournir un appui aérien à l’infanterie en première ligne, se révèle en outre parfait pour les frappes tactiques.=16322
Skin/Info/BansheeCovertOps,Les ingénieurs du Dominion ont grandement amélioré la stabilité et les performances de la Banshee en combinant ses réacteurs à double flux ADAV avec un nouveau stabilisateur vertical situé à l’arrière de l’aéronef.=16323
Skin/Info/BansheeJunker,Les mercenaires sont connus pour bricoler leurs engins à l’aide de diverses pièces d’équipement et ces Banshees ne font pas exception à la règle. Selon la rumeur, des pièces de bulldozer entreraient dans leur conception.=16324
Skin/Info/BansheeSilver,Bien que la plupart des Banshees de Tyrador aient été éradiquées dès la première attaque des Zergs de Cerbère, un pilote chevronné a tout de même réalisé l’exploit d’abattre trois ultralisks.=16325
Skin/Info/BansheeUmojan,Par une série de tractations sous le manteau, le Protectorat umojan a réussi à se procurer un petit nombre de Banshees auprès de Procyon Industries, même si la société prétend se les être fait voler.=16326
Skin/Info/Barracks,La caserne, sorte de second foyer pour les unités d’infanterie terranes, est un bâtiment stérilisé, mobile et pouvant être déployé rapidement. =16327
Skin/Info/BarracksCovertOps,La caserne des forces spéciales comprend un système de refroidissement par azote liquide qui donne au bâtiment son étrange lueur bleue.=16328
Skin/Info/BarracksSilver,Chaque caserne de Chevaliers de Tyrador inclut une cuisine robotisée cinq étoiles et un spa complet – réservé aux officiers, bien évidemment.=16329
Skin/Info/Battlecruiser,Les cuirassés servent souvent de centre de commandement mobile lors des campagnes militaires prolongées. Lourdement blindés et armés, ils constituent de véritables forteresses volantes.=16330
Skin/Info/BattlecruiserCovertOps,À l’issue d’une longue phase de recherche et développement, les nouveaux cuirassés de classe Moirai ont enfin obtenu l’aval du Dominion, qui en a réservé l’usage exclusif à ses forces spéciales.=16331
Skin/Info/BattlecruiserJunker,Ces redoutables bâtiments ont été modifiés pour satisfaire au désirs des mercenaires. Cependant, peu nombreux sont ceux qui survivent assez longtemps pour admirer le résultat.=16332
Skin/Info/BattlecruiserRemastered,À l’époque de la Guerre de l’Essaim, le profil des decks de commandement des cuirassés  était plus bas, avec des fenêtres panoramiques à bâbord et tribord pour assurer une visibilité maximum en cas d’embuscade zerg. =16333
Skin/Info/BattlecruiserSilver,Attaqués par les Zergs de Cerbère, les Chevaliers de Tyrador ont envoyé un cuirassé de classe Béhémoth demander de l’aide aux vaisseaux de pierre stationnés en orbite.=16334
Skin/Info/BattlecruiserUmojan,Les cuirassés umojans disposent d’un blindage en NéoAcier repensé, ainsi que de canons Yamato améliorés qui les rendent reconnaissables entre tous lors des batailles.=16335
Skin/Info/BroodLord,Le seigneur-vermine, créature terrifiante qui a évolué pour dominer les cieux, lance ses vermines dévastatrices à l’assaut des troupes adverses.=16336
Skin/Info/BroodLordMecha,Quand ils ont achevé le prototype de seigneur-vermine en surpassant toutes les attentes, les scientifiques du projet Réplicant ont été envoyés en vacances pour célébrer cette réussite. Bizarrement, ils ne sont jamais revenus…=16337
Skin/Info/BroodLordPrimal,Quelques seigneurs-vermines ont été intégrés aux meutes de zergs primordiaux, et leur apparence en a été grandement modifiée, notamment au niveau de leurs griffes inhabituelles.=16338
Skin/Info/BroodLordRCZ,Chaque vermine déployée par le seigneur-vermine de Cerbère peut être contrôlée individuellement par un commandant, bien à l’abri derrière sa console de commande, loin, très loin du champ de bataille.=16339
Skin/Info/BroodLordWebby,Bien qu’ils n’aient intégré l’Essaim que récemment, de nombreux seigneurs-vermines présentent des traits distinctifs propres à la couvée léviathan… Sans doute le résultat de manipulations génétiques orchestrées par Abathur, le maître des évolutions.=16340
Skin/Info/BroodLord_PremiumSkin_Aquatic,Durant la contamination de planètes majoritairement couvertes par les océans, certains seigneurs-vermines ont rejoint les eaux et ont évolué pour plonger dans les fosses océaniques où ils dévorent leurs proies.=16341
Skin/Info/Bunker,Ce bâtiment, largement répandu mais au confort plus que sommaire, est souvent surnommé « cercueil militaire » par les unités d’infanterie terranes.=16342
Skin/Info/BunkerCovertOps,Si les nouveaux bunkers du Dominion sont capables de résister au poids d’un ultralisk, les marines se félicitent surtout qu’ils soient livrés avec des sièges.=16343
Skin/Info/BunkerSilver,Les bunkers super-climatisés de Tyrador rendent les missions de reconnaissance très confortables, même au beau milieu des étouffantes régions de villégiature tropicales.=16344
Skin/Info/Carrier,Ce splendide vaisseau amiral instille l’espoir dans le cœur des Templiers et la terreur dans celui de ses ennemis. Les intercepteurs rapides qu’il peut déployer sont redoutables sur le champ de bataille.=16345
Skin/Info/CarrierGolden,Un petit nombre de porte-nefs a été remonté à l’aide de techniques anciennes afin de mieux ressembler aux modèles datant de l’après-Éon de conflits. Ces variantes sont principalement utilisées lors de visites diplomatiques.=16346
Skin/Info/CarrierIhanrii,La pierre animée conçue par les Protoss ihan-rii est légère, très résistante et chimiquement inerte, ce qui en fait le matériau de base idéal pour les vaisseaux voués à explorer les confins de l’espace.=16347
Skin/Info/CarrierPurifier,Le porte-nefs des Purificateurs allie à merveille automatisation et drones mortels.=16348
Skin/Info/CarrierRemastered,Les porte-nefs conçus sur le modèle du légendaire vaisseau-amiral Gantrithor sont toujours fabriqués dans certains recoins de l’espace protoss, en l’honneur de Tassadar et de son sacrifice.=16349
Skin/Info/CarrierTaldarim,Les techniciens Tal’darim font preuve d’une inventivité inégalée dès qu’il s’agit de détourner l’ingénierie khalai pour verser le sang. La majorité des porte-nefs qui composent la flotte de mort comptent en effet parmi les plus redoutables de tous les vaisseaux de guerre.=16350
Skin/Info/Carrier_AmonBrood_Collection,La corruption d’Amon a frappé une grande partie de l’Armada dorée, poussant les guerriers affectés à combattre pour le dieu noir. L’énergie du Vide a altéré l’apparence de ces Protoss possédés, mais aussi celle de leurs vaisseaux.=16351
Skin/Info/Colossus,Les Colosses sont les premières machines protoss à avoir été conçues dans l’unique but de semer la destruction. Ils constituent à la fois le symbole d’un passé sanglant et la promesse d’un avenir pacifié.=16352
Skin/Info/ColossusCE,Jugés trop dangereux après l’Ingérence de Kalath, les Colosses du programme Purificateur sont l’objet de nombreuses légendes parmi les Templiers, pour qui ils symbolisent l’arme de purification ultime.=16353
Skin/Info/ColossusGolden,Des Colosses triés sur le volet ayant pris part à l’ultime bataille ont été refaçonnés dans un style traditionnel en recourant aux matériaux de la meilleure qualité possible. Ils ressemblent désormais à ce qui se faisait de mieux dans la robotique protoss d’antan.=16354
Skin/Info/ColossusIhanrii,Les nombreux composants de pierre qui constituent le Colosse ihan-rii sont maintenus dans un état de lévitation par un réseau de dynamos Xel’Naga reconfigurées.=16355
Skin/Info/ColossusPurifier,La dernière œuvre des Purificateurs est un Colosse aux lignes pures, subtilement amélioré, mais qui n’en constitue pas moins une terrible machine de guerre.=16356
Skin/Info/ColossusTal,Reliques des guerres d’un lointain passé, les Colosses, disséminés et oubliés aux quatre coins du secteur, sont régulièrement exhumés et réactivés par les aspirants Tal’darim qui cherchent à décupler leur puissance de feu.=16357
Skin/Info/ColossusTaldarim,Il est de coutume, chez les plus jeunes aspirants, de se mettre au défi de neutraliser un Colosse actif afin d’en prendre le contrôle. Ceux qui y parviennent mettent ainsi la main sur une puissante machine de guerre. Les autres font la joie de leurs rivaux survivants.=16358
Skin/Info/CommandCenter,Mobiles et pratiques, les Centres de commandement excellent dans l’exploitation des ressources et peuvent facilement se déplacer jusqu’aux zones les plus riches en minerai et gaz vespène.=16359
Skin/Info/CommandCenterCovertOps,Grâce à ses griffes à champ répulsif renforcé, le Centre de commandement peut se poser sans la moindre difficulté même dans les environnements les plus inhospitaliers.=16360
Skin/Info/CommandCenterRemastered,Les versions précédentes du centre de commandement possédaient une interface évolutive afin de pouvoir connecter des annexes externes. Pour plus de sécurité, ces dernières ont été remplacées par des baies internes.=16361
Skin/Info/CommandCenterSilver,Après l’arrivée des Protoss ihan-rii, les centres de commandement de Tyrador ont hébergé les émissaires diplomatiques de tout le secteur de Koprulu, chacun d’eux essayant de recruter les nouveaux arrivants pour servir ses propres objectifs politiques.=16362
Skin/Info/Corruptor,Aéroportés grâce à un champ magnétique d’origine organique, les corrupteurs peuvent projeter un acide caustique capable de dégrader jusqu’aux matériaux de construction les plus résistants.=16363
Skin/Info/CorruptorMecha,À la place de spores, ces corrupteurs mécaniques possèdent des nanites capables d’auto-réplication programmées pour exercer la même fonction, ce qui est assez troublant.=16364
Skin/Info/CorruptorPrimal,Les corrupteurs originaux sont les seuls à avoir été adaptés à la fois par l’Essaim et par les Zergs primordiaux. Ces derniers les ont d’ailleurs dotés de griffes et de carapaces plus épaisses, à même de satisfaire l’exigence de leur processus alimentaire.=16365
Skin/Info/CorruptorRCZ,Voué à la clandestinité après la chute d’Arcturus Mengsk, le programme de reconditionnement neuronal Cerbère se concentre désormais non plus sur les soldats terrans mais sur les Zergs.=16366
Skin/Info/CorruptorWebby,Bien qu’apanage habituel des créatures aquatiques, les aiguillons et membranes qu’arborent les corrupteurs ne les ont pas empêchés de s’adapter parfaitement aux environnements à faible gravité.=16367
Skin/Info/CreepTumorMecha,Tout semble indiquer que les tumeurs muqueuses réplicantes sont constituées de nanocomposants sophistiqués. Mais leur nature explosive rend hautement périlleuse toute tentative de vérification.=16368
Skin/Info/CyberneticsCore,On sait que les Protoss injectent l’esprit des guerriers d’élite tombés au combat dans des corps artificiels, ce qui leur offre une chance de se battre tout au long de leur seconde existence. Le noyau cybernétique joue un grand rôle dans le développement de cette technologie.=16369
Skin/Info/CyberneticsCoreForged,Les noyaux cybernétiques permettent de connecter des êtres biologiques à un réseau de machines complexes. Chez les Tal’darim, ce procédé est rendu extrêmement douloureux.=16370
Skin/Info/CyberneticsCoreIhanrii,La reconnaissance terrane des camps ihan-rii a permis d’obtenir des images d’une structure ressemblant au noyau cybernétique contemporain des Protoss, bien que les énergies produites par la version ihan-rii soient totalement différentes.=16371
Skin/Info/Cyclone,Initialement conçu pour être entièrement automatisé, ce véhicule a été repensé pour accueillir un pilote. Après tout, rien ne peut rivaliser avec l’imprévisibilité d’un cerveau humain.=16372
Skin/Info/CycloneCovertOps,L’articulation des chenilles du Cyclone des forces spéciales a été profondément remaniée afin d’améliorer sa maniabilité et ainsi lui permettre de s’affranchir des terrains les plus difficiles et étroits.=16373
Skin/Info/CycloneJunker,Les Mercenaires de Mira ont affublé leurs Cyclones de multiples plaques de renfort et d’innombrables pointes. Mais, fruits d’une conception des plus hâtives, ces engins modifiés ne bénéficient d’aucune résistance supplémentaire aux dégâts.=16374
Skin/Info/CycloneSilver,Quand les Zergs de Cerbère ont attaqué Tyrador IX, plusieurs Cyclones envoyés en renfort étaient encore armés de feux d’artifice utilisés lors d’un spectacle.=16375
Skin/Info/CycloneUmojan,Si l’imitation est la plus sincère forme de flatterie, ces cyclones représentent l’hommage ultime des ingénieurs umojans à la créativité du Dominion terran.=16376
Skin/Info/DarkShrine,Le Sanctuaire noir était jadis un fleuron témoignant de l’indépendance de la société nérazime. Après avoir intégré les Khalai, les Nérazims l’ont requalifié en terrain d’entraînement pour les templiers noirs. =16377
Skin/Info/DarkShrineForged,Qui mieux que les chasseurs de sang, instruments de la malveillance du haut seigneur, sait ce qui se trame au cœur du Sanctuaire noir ?=16378
Skin/Info/DarkShrineIhanrii,Les fumées surchauffées s’échappant du sommet du sanctuaire noir ihan-rii donnent une idée des températures infernales qui doivent régner à l’intérieur. Étrangement, les analyses thermiques terranes indiquent que la pierre animée externe est dans un état de quasi-gel.=16379
Skin/Info/DarkTemplar,Éminents guerriers psioniques des Nérazims, les templiers noirs ont appris à manipuler la puissance du Vide. Redoutables et impitoyables, ils frappent depuis les ombres.=16380
Skin/Info/DarkTemplarGolden,Des templiers traditionalistes prétendent s’être liés d’amitié avec une poignée de Nérazims, arguant que ces individus sont le symbole véritable des Daelaam. Les mauvaises langues disent qu’ils les ont simplement corrompus.=16381
Skin/Info/DarkTemplarIhanrii,Très tôt pendant leur entraînement, les Protoss ihan-rii reçoivent un cristal de Vide qui résonne à la même fréquence que leur signature psionique. Quand ils atteignent l’âge adulte, leur cristal est taillé en une redoutable pointe acérée.=16382
Skin/Info/DarkTemplarPurifier,Inspirés par leurs nombreuses interactions avec les Nérazims, les Purificateurs sont parvenus à concevoir un veilleur capable de reproduire les prouesses guerrières des templiers noirs.=16383
Skin/Info/DarkTemplarTaldarim,La société des Tal’darim est brutale et impitoyable. Ceux jugés trop faibles pour être utiles au haut seigneur sont pourchassés sans pitié et exécutés par les chasseurs de sang, capables de traquer leur proie sans être vus.=16384
Skin/Info/Disruptor,Initialement développés dans le cadre du programme Purificateur, les disrupteurs comptent parmi les armes les plus meurtrières des Protoss. Leur arsenal solarien développe une puissance de feu redoutable.=16385
Skin/Info/DisruptorGolden,À l’instar des Colosses, certains disrupteurs ayant pris part à l’ultime bataille ont été reconditionnés pour commémorer les heures de gloire des Protoss. Peut-être qu’avec le temps, le souvenir de leurs heures sombres disparaîtra.=16386
Skin/Info/DisruptorIhanrii,Les disrupteurs ihan-rii sont alimentés par l’énergie verte et crépitante du cristal nodal des vaisseaux amiraux. Toute particule organique qui entre en contact avec le réseau d’alimentation central est aussitôt vaporisée.=16387
Skin/Info/DisruptorPurifier,Les derniers disrupteurs de Cybros jouissent d’un blindage dernier cri et de protocoles épurés qui reflètent l’investissement des Purificateurs dans la recherche de pointe.=16388
Skin/Info/DisruptorTaldarim,Les Tal’darim se moquent volontiers des choix des Daelaam en matière d’armement. Ils n’ont cependant pas perdu de temps pour s’atteler à la reconfiguration de tous les disrupteurs dont ils ont pu s’emparer. Passer à côté d’une telle puissance serait criminel.=16389
Skin/Info/Drone,Concentrés et diligents, les ouvriers possèdent dans leur génome de quoi produire n’importe quel bâtiment zerg. Ils leur suffit en effet d’un surplus de ressources et de mucus pour alimenter tout supplément de biomasse.=16390
Skin/Info/DroneBlizzcon17,Cet ouvrier atypique a vu le jour au cœur d’une pile de débris terrans. Affecté par les interférences, il s’est adapté pour faire corps avec les décombres. /// This unusual drone hatched amid a pile of rusting terran wreckage. Rather than suffering from the interference, its flesh adapted to fuse itself to the rubble.=16391
Skin/Info/DroneMecha,Le projet Réplicant a démarré avec la construction d’un ouvrier mécanique pouvant être utilisé pendant les exercices de tir afin de tester des techniques de combat et des armes alternatives, mais il a rapidement pris de l’importance.=16392
Skin/Info/DronePrimal,Le statut des ouvriers primordiaux est des plus périlleux, les membres les plus puissants de leur meute n’hésitant en effet pas à les dévorer dès que les proies viennent à manquer.=16393
Skin/Info/DroneRCZ,À l’instar des autres Zergs de Cerbère, l’ouvrier est muni de composants cybernétiques en guise de système nerveux, ce qui permet un contrôle total de ses mouvements.=16394
Skin/Info/DroneRemastered,Les premiers ouvriers arboraient des couleurs vives et faisaient preuve d’une agressivité accrue. Ces caractéristiques ont toutefois disparu en l’espace de quelques années.=16395
Skin/Info/DroneWebby,Une nageoire dorsale hérissée de dards venimeux suffit bien souvent à maintenir les prédateurs à distance. Certaines créatures n’hésitent d’ailleurs pas à arborer un appendice d’apparence similaire afin de dissuader les éventuels agresseurs.=16396
Skin/Info/EngineeringBay,Les Terrans ont activement développé leurs connaissances en ingénierie après la guerre de l’Essaim. En raison de l’augmentation du nombre de personnes qu’il embarque et de la complexité des travaux menés à son bord, le centre technique n’a plus l’autorisation de décoller.=16397
Skin/Info/EngineeringBayCovertOps,Pour accélérer leurs recherches, les centres techniques expérimentaux procèdent à des simulations de combat qui opposent des intelligences artificielles.=16398
Skin/Info/EngineeringBaySilver,Une partie de chaque centre technique des Chevaliers de Tyrador est consacrée à la mise au point de nouveaux manèges pour parc d’attractions, bien que ces départements aient été temporairement fermés suite à l’assaut des Zergs de Cerbère.=16399
Skin/Info/EvolutionChamber,Les modifications et mélanges des séquences génétiques à l’origine des améliorations des Zergs s’opèrent au sein des chambres d’évolution.=16400
Skin/Info/EvolutionChamberMecha,À l’instar des autres bâtiments réplicants, la chambre d’évolution est composée de matériaux polymères souples parfaitement adaptés aux innombrables variations de sa biomécanique interne.=16401
Skin/Info/EvolutionChamberRCZ,Après des mois de frustration dans le service de bio-ingénierie de Cerbère, il a été découvert qu’en pompant les phéromones de commande situés dans les artères d’une chambre d’évolution, il était possible de maîtriser les tendances hyperadaptatives de la structure.=16402
Skin/Info/Extractor,Ce bâtiment biologique absorbe le gaz vespène et l’expulse sous forme de petits amas de chair, facilitant ainsi son transport par les ouvriers.=16403
Skin/Info/ExtractorMecha,À l’origine, les extracteurs du projet Réplicant n’avaient qu’un rôle décoratif. Nul ne sait exactement quand ils ont commencé à collecter le gaz vespène.=16404
Skin/Info/ExtractorRCZ,Les extracteurs de Cerbère pulsent en continu sous la surface de Tyrador IX, aspirant toute trace de gaz vespène présente dans la croûte de la planète afin d’alimenter l’expansion future.=16405
Skin/Info/Factory,Pendant la seconde grande guerre, les latrines ont été supprimées des usines. L’espace gagné permet aux mécanos de déployer des chars déjà dotés de capacités de siège.=16406
Skin/Info/FactoryCovertOps,Le modèle d’usine R36 est doté d’ancres plus résistantes, de fondations renforcées et d’une couche de peinture à l’épreuve des balles.=16407
Skin/Info/FactorySilver,Les négociations en vue d’un règlement entre les Protoss ihan-rii et les chefs de Tyrador IX sont au point mort depuis que plusieurs usines terranes situées dans une zone contestée ont mystérieusement explosé en ne laissant derrière elles que des cratères verts luminescents.=16408
Skin/Info/FleetBeacon,Les balises de la flotte servent à intensifier la connexion à la matrice psionique de toute porte stellaire proche, ce qui permet le transfert de gigantesques vaisseaux amiraux.=16409
Skin/Info/FleetBeaconForged,Pour téléporter leurs vaisseaux de guerre blindés et tout leur arsenal, les balises de la flotte Tal’darim concentrent en leur cœur une quantité d’énergie psionique à la limite du raisonnable.=16410
Skin/Info/FleetBeaconIhanrii,Enfin revenus à Arakyr, les Ihan-rii ont construit de puissantes balises de flotte afin de scanner l’immensité de l’espace, à la recherche d’autres survivants de leur antique civilisation.=16411
Skin/Info/FleetBeaconTaldarim,Info de balise de la flotte taldarim=16412
Skin/Info/Forge,La forge abrite des forge-phase qui œuvrent en permanence à l’amélioration des armes, armures et vaisseaux de leurs semblables. Ces ingénieurs d’élite ne se reposeront pas avant qu’Aïur ait été reconquise.=16413
Skin/Info/ForgeForged,Les ingénieurs khalai sont retenus prisonniers et interrogés au sein des forges Tal’darim jusqu’à ce qu’ils livrent les secrets de leur technologie.=16414
Skin/Info/ForgeIhanrii,Les Ihan-rii extraient des cristaux de Vide des filons se trouvant au pôle sud d’Arakyr et les entreposent sous vide au plus profond de leurs forges.=16415
Skin/Info/ForgeTaldarim,Info de forge taldarim=16416
Skin/Info/FusionCore,Les travaux entrepris dans le noyau de fusion sont extrêmement délicats. Les chercheurs y exploitent l’antimatière et l’énergie nucléaire pour améliorer les capacités des cuirassés.=16417
Skin/Info/FusionCoreCovertOps,Pour répondre aux exigences des nouveaux cuirassés de classe Moirai, le rendement énergétique du noyau de fusion a dû être quadruplé sans pour autant augmenter sa signature thermique.=16418
Skin/Info/FusionCoreSilver,Non seulement les noyaux de fusion à refroidissement liquide alimentent la flotte de cuirassés orbitaux, mais ils fournissent également la majorité de l’énergie nécessaire aux casinos, parcs aquatiques et salons de massage robotiques de Tyrador IX.=16419
Skin/Info/Gateway,Suite à la guerre de l’Essaim, les Protoss ont minutieusement étudié l’ancienne technologie de transfert des Xel’Naga. Si bien que les portails peuvent désormais acheminer leurs guerriers sur des champs de bataille éloignés en une poignée de secondes.=16420
Skin/Info/GatewayForged,Les portails Tal’darim transfèrent les guerriers du Vide sur de plus longues distances que les portails khalai. Les troupes arrivent parfois même à destination en un seul morceau.=16421
Skin/Info/GatewayIhanrii,Les relations entre les deux espèces de Tyrador IX connurent leur épreuve la plus difficile lorsqu’un dignitaire terran visitant une colonie ihan-rii toucha accidentellement un portail et fut immédiatement (et salement) vaporisé par le déferlement d’énergies du Vide.=16422
Skin/Info/GatewayTaldarim,Info de portail taldarim=16423
Skin/Info/Ghost,Agents spéciaux terrans d’exception, les fantômes tirent profit de leurs pouvoirs psioniques naturels pour parfaire leurs arsenal de talents mortels. Ils se montrent sans égal pour les missions d’infiltration et d’assassinat.=16424
Skin/Info/GhostAcademy,Après la formation du Dominion, Mengsk a décidé de réformer le programme fantôme. Des Académies fantômes spécialisées, flanquées de silos nucléaires, ont été érigées afin d’exploiter au mieux son potentiel.=16425
Skin/Info/GhostAcademyCovertOps,Les nouvelles Académies fantôme ont remédié au problème de fuites radioactives des silos à missile dans les zones d’entraînement voisines.=16426
Skin/Info/GhostAcademySilver,Lorsqu’on découvrit que Cerbère était responsable de l’invasion de Zergs contrôlés à distance, les Chevaliers de Tyrador recrutèrent des mercenaires fantômes afin de pourchasser et d’éliminer le commandement de la corporation renégate.=16427
Skin/Info/GhostCovertOps,Ces dernières années, l’empereur Valérian a apporté de nombreux changements au programme Fantôme. Les nouvelles recrues, qui s’engagent désormais librement, font preuve d’un plus grand dévouement et produisent de meilleurs résultats.=16428
Skin/Info/GhostEidolon,Peu de fantômes ont survécu assez longtemps à la rigueur du programme pour être appelés vétérans. Ceux qui y parviennent ont le privilège de se voir attribuer une combinaison Eidolon.=16429
Skin/Info/GhostJunker,Malgré son indéniable charisme, Mira Han éprouve le plus grand mal à recruter et conserver des fantômes au sein de ses rangs. Sans doute préfèrent-ils un armement plus sophistiqué à celui des mercenaires.=16430
Skin/Info/GhostNova,Tous les fantômes sont de redoutables agents spéciaux, mais les majors de promotion sont les plus dangereux. Ces assassins d’élite sont au cœur d’innombrables opérations sur le champ de bataille.=16431
Skin/Info/GhostSilver,Les fantômes d’élite de Tyrador assurent la protection des touristes fortunés. La production de leurs visières a toutefois cessé suite aux plaintes d’une célébrité du rock les trouvant trop effrayantes.=16432
Skin/Info/GhostUmojan,Ces agents d’élite qu’on appelle les gardes de l’ombre servent à préserver les secrets du Protectorat umojan, ainsi que la paix.=16433
Skin/Info/GreaterSpireMecha,Bien que des photographies suggèrent le contraire, les représentants du Dominion démentent formellement l’existence d’une grande aiguille réplicante.=16434
Skin/Info/Hatchery,Les couveuses sont les gardiennes du patrimoine génétique zerg. Véritable organe central des colonies, elles assimilent le minerai, produisent du mucus et donnent naissance aux larves.=16435
Skin/Info/HatcheryMecha,Quand les couveuses réplicantes ont commencé à produire une substance ressemblant à s’y méprendre à du mucus, les directeurs faisaient face à des problèmes bien plus inquiétants.=16436
Skin/Info/HatcheryRCZ,Après s’être assuré que son infiltration dans les zones souterraines de Tyrador IX était passée inaperçue, Cerbère commença à implanter des couveuses contrôlées à distance dans les vastes et nombreux conduits de lave de la planète.=16437
Skin/Info/HatcheryRemastered,En l’absence de la reine des Lames, les mères des couvées zergs se disputèrent la suprématie. Les plus faibles furent chassées de leur colonie et périrent. Les autres découvrirent des couveuses abandonnées ou en sommeil et les mirent au travail pour élever de nouvelles couvées.=16438
Skin/Info/Hellion,Véhicules de frappe rapide dotés d’un châssis léger, les tourmenteurs sont parfaits pour les raids éclair et les manœuvres d’évitement. Ils sont aussi très appréciés des groupes de mercenaires.=16439
Skin/Info/HellionCovertOps,Grâce à son large châssis reposant sur trois roues, ce Tourmenteur gagne non seulement en style, mais aussi en maniabilité. Certains pilotes vont même jusqu’à vanter son agrément de conduite.=16440
Skin/Info/HellionJunker,Modifiés à l’origine pour les divisions de démolition souterraine, ces Tourmenteurs sont devenus les véhicules de prédilection des pillards qui sévissent dans les mondes de la périphérie.=16441
Skin/Info/HellionJunkerMM,Ces Tourmenteurs ont été conçus pour extirper leurs pilotes de situations fâcheuses, rapidement et avec panache. On raconte qu’ils sont également équipés d’émetteurs de stimulants illégaux, mais aucun mercenaire n’a jamais confirmé cette rumeur.=16442
Skin/Info/HellionSilver,Les jantes uniques du Tourmenteur de Tyrador ont été conçues en étroite collaboration avec JJ Hyun, le célèbre pilote de course devenu icône de la mode.=16443
Skin/Info/HellionUmojan,Les Umojans ont une classe incroyable aux commandes de leurs Tourmenteurs. Ces véhicules sophistiqués sont équipés d’une suspension améliorée, d’un blindage défensif et de sièges encore plus confortable pour le bien-être fessier de leurs pilotes.=16444
Skin/Info/HighTemplar,Les hauts templiers sont les guerriers les plus respectés et les plus expérimentés des Protoss. Ils ont affiné leurs talents psioniques jusqu’à la perfection et fait de leur esprit une arme redoutable.=16445
Skin/Info/HighTemplarGolden,Les hauts templiers shelak ont été les premiers à arborer des armures antiques en hommage à Khas et au rôle qu’il joua dans l’unification des templiers. En embrassant leur glorieux passé, ils dissipent leur peur d’un avenir sombre.=16446
Skin/Info/HighTemplarIhanrii,Incapables de retrouver trace d’un certain « Zeratul », dont le signal de détresse les a tirés de leur stase, les Protoss ihan-rii, ont regagné le système qu’ils considéraient autrefois comme leur foyer.=16447
Skin/Info/HighTemplarPurifier,Après de nombreuses expérimentations, les Purificateurs ont perfectionné leurs IA guerrières, qui possèdent désormais les mêmes capacités que les hauts templiers des Daelaam. Le hiérarque Artanis en personne se serait dit très impressionné.=16448
Skin/Info/HighTemplarTaldarim,Grâce au rite du Rak’Shir, les Tal’darim progressent sur la voie de l’Ascension. Les années passées à absorber de la terrazine et à consumer l’essence de ceux qui les révèrent ont fait de ces aspirants des êtres d’une puissance redoutable.=16449
Skin/Info/HiveMecha,Le processus de transformation des terriers en ruches aurait sans doute fasciné les ingénieurs qui travaillaient sur le projet Réplicant, si tant est que ceux-ci fussent encore en vie.=16450
Skin/Info/Hydralisk,Effroyables tueurs, les hydralisks disposent de muscles puissants capables de propulser les aiguillons qui jalonnent leur carapace à une vitesse suffisante pour transpercer le NéoAcier.=16451
