AUTHENTICATION_BETA_REGION,内测或公测 /// Beta=0
Button/Tooltip/PenetratingShot,发射一枚灌注了灵能的子弹，对沿途的敌人进行打击，造成<d ref="Effect,PenetratingShotDamage,Amount"/>(+<d ref="Effect,PenetratingShotDamage,AttributeBonus[Biological]"/>对生物)伤害。=21007
Button/Tooltip/PermanentlyCloakedStasis,静滞结界处于永久隐形状态。 /// The Stasis Ward is permanently cloaked.=21008
Button/Tooltip/PhaseShield,保护目标区域内的友方单位免受伤害，持续<d time="5"/>。=21009
Button/Tooltip/PulsarCannon,对一个敌方地面单位集中发射一股不稳定的中子冲击波。造成<d ref="Effect,PulsarShotDamage,Amount[0]"/>（对轻甲<d ref="Effect,PulsarShotDamage,Amount[0]+Effect,PulsarShotDamage,AttributeBonus[Light]<n/>"/>）点伤害。=21010
Button/Tooltip/PurificationNova,获得<d ref="Behavior,PurificationNovaSpeedBoost,Modification.MoveSpeedBonus/Unit,Disruptor,Speed*100"/>%移动速度提升，<d ref="Behavior,PurificationNova,Duration"/>秒后放射出一道强大的新星，对附近的单位造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害。<n/><n/><c val="#ColorAttackInfo">只会对地面单位和建筑造成伤害。</c>=21011
Button/Tooltip/PurificationNovaTargeted,发射一枚能量球，持续<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒，并产生一道强力的能量新星，对附近的地面单位和建筑造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害和额外<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>点对护盾的伤害。干扰者在激活该技能的时候无法移动。 /// Shoots out a ball of energy that lasts <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds and emits a powerful nova dealing <d ref="Effect,PurificationNovaDamage,Amount"/> splash damage and an additional <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> shield damage to nearby ground units and structures. The Disruptor is immobile while this is active.=21012
Button/Tooltip/PurifierMineralField,工作单位可从该矿脉采集资源。 /// Workers can harvest resources from this Mineral Field.=21013
Button/Tooltip/QueenMP,支援型空中单位。可以使用诱捕、孵化巢虫以及感染指挥中心。=21014
Button/Tooltip/QueenMPEnsnare,使目标区域内的单位移动速度降低<d ref="100 - (Behavior,QueenMPEnsnare,Modification.MoveSpeedMultiplier * 100)"/>%，持续<d ref="Behavior,Ensnare,Duration"/>秒。显示隐形和潜地的单位。=21015
Button/Tooltip/QueenMPSpawnBroodlings,消灭目标生物单位，孵化出<d ref="Effect,QueenMPSpawnBroodlingsCreate,SpawnCount"/>只巢虫。=21016
Button/Tooltip/RapidDeployment,使医疗运输机卸载单位的速度加快一倍。 /// The Medivac deploys loaded troops twice as fast.=21017
Button/Tooltip/RavagerCorrosiveBile,朝目标位置发射一枚飞弹，撞击后对该范围内的所有单位造成<d ref="Effect,RavagerCorrosiveBileDamage,Amount"/>点伤害。<n/><n/><c val="#ColorAttackInfo">可以摧毁星灵力场。</c> /// Launch a missile at the target location, dealing <d ref="Effect,RavagerCorrosiveBileDamage,Amount"/> damage to all units in the area upon impact.<n/><n/><c val="#ColorAttackInfo">Can destroy Protoss Force Fields.</c>=21018
Button/Tooltip/RavagerRange,使破坏者的腐蚀胆汁射程提高4。 /// Increases the Ravager's Corrosive Bile range by 4.=21019
Button/Tooltip/ReleaseInterceptors,航母朝目标点发射所有拦截机，只有<d ref="Behavior,ReleaseInterceptorsTimedLife,Duration"/>秒的限时生命。拦截机会在范围内一直逗留直至其消失。 /// Carrier launches all Interceptors at the target point with a <d ref="Behavior,ReleaseInterceptorsTimedLife,Duration"/> second timed life. Interceptors remain at the area until they expire.=21020
Button/Tooltip/Replicant,机械干扰型单位。可以使用净化新星造成大量伤害。<n/><n/><c val="ffff8a">可以对地。</c>=21021
Button/Tooltip/ReptileCrate,一个普通的纸板箱。从标签上来看，里面可能装着一条蛇。最好别碰它。 /// An ordinary cardboard box. According to its label, there might be a snake inside. Probably best to leave it alone.=21022
Button/Tooltip/ResearchAdeptKillBounce,每当<c val="ffff8a">使徒</c>消灭一名敌人时，其攻击便能弹跳至邻近的两名敌方单位。=21023
Button/Tooltip/ResearchAdeptShieldUpgrade,<c val="ffff8a">使徒</c>的护盾提高50点。 /// Increases the <c val="ffff8a">Adept's</c> shields by 50.=21024
Button/Tooltip/ResearchBallisticRange,<c val="ffff8a">解放者</c>在防卫模式下的射程提高4。 /// Increases the range of <c val="ffff8a">Liberators</c> in Defender Mode by 4.=21025
Button/Tooltip/ResearchBarrier,激活后，使<c val="ffff8a">不朽者</c>最多可吸收<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>点伤害。持续<d ref="Behavior,ImmortalOverload,Duration"/>秒。=21026
Button/Tooltip/ResearchDrillClaws,使<c val="ffff8a">寡妇雷</c>潜地激活的速度提高3倍。 /// Allows <c val="ffff8a">Widow Mines</c> to burrow and activate three times as fast.=21027
Button/Tooltip/ResearchExplosiveShrapnelShells,使铁鸦的自动机炮和猎杀飞弹的伤害提高30%。 /// Increases the damage of Raven Auto-Turrets and Seeker Missiles by 30%.=21028
Button/Tooltip/ResearchHighCapacityFuelTanks,提高<c val="ffff8a">医疗运输机</c>的燃料储备，使后燃推进系统的持续时间提高50%。 /// Increases the <c val="ffff8a">Medivac's</c> fuel reserves, allowing Ignite Afterburners to last 50% longer.=21029
Button/Tooltip/ResearchImmortalRevive,<c val="ffff8a">不朽者</c>死亡<d time="30"/>后自动复活。3分钟冷却时间。=21030
Button/Tooltip/ResearchLiberatorAGMode,使<c val="ffff8a">解放者</c>能变形为对地远程攻城单位。=21031
Button/Tooltip/ResearchLockOnRangeUpgrade,使<c val="ffff8a">飓风</c>的锁定射程从6提高至9。=21032
Button/Tooltip/ResearchLurkerRange,使<c val="ffff8a">潜伏者</c>的攻击射程提高3。=21033
Button/Tooltip/ResearchRapidDeployment,使医疗运输机卸载单位的速度加快一倍。 /// The Medivac deploys loaded troops twice as fast.=21034
Button/Tooltip/ResearchRavagerRange,使<c val="ffff8a">破坏者</c>的腐蚀胆汁射程提高4。 /// Increases the <c val="ffff8a">Ravager's</c> Corrosive Bile range by 4.=21035
Button/Tooltip/RipField,通过集中的不稳定中子光线攻击建筑。脉冲光线每<d ref="Effect,RipFieldCreatePersistent,PeriodicPeriodArray[0]"/>秒造成<d ref="Effect,RipFieldDamage,Amount"/>点伤害值<n/><n/><c val="f078ff">每<d time="1" precision="1"/>消耗<d ref="-1 * (Behavior,PulsarBeam,Modification.VitalRegenArray[2] + Unit,Oracle,EnergyRegenRate)" precision="1"/>点能量值。</c>=21036
Button/Tooltip/ScourgeMP,飞行生物。能够利用弹射攻击同时伤害多个目标。<n/><n/><c val="ffff8a">可以对地和对空。</c> /// Air unit. Bounces its shot to strike multiple targets.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>=21037
Button/Tooltip/SelfRepair,每秒回复<d ref="Behavior,SelfRepair,Modification.VitalRegenArray[Life]"/>点生命值。雷神在被完全修复或者等待<d ref="Behavior,SelfRepair,Duration"/>秒后才能移动或攻击。=21038
Button/Tooltip/SlaynElementalGrab,从目标单位身上吸取能量。 /// Siphons energy from targeted unit.=21039
Button/Tooltip/SpawnInterceptors,释放拦截机攻击目标区域。拦截机会在该区域内持续存在，最多存在<d ref="Behavior,InterceptorTimedLife,Duration"/>秒或直至其被消灭。=21040
Button/Tooltip/TemporalField,向目标区域折跃异度时空，持续<d ref="Effect,TemporalFieldCreatePersistent,PeriodCount*Effect,TemporalFieldCreatePersistent,PeriodicPeriodArray[0]"/>秒。进入力场的敌方地面单位移动速度降低<d ref="(1-Behavior,TemporalField,Modification.MoveSpeedMultiplier)*100"/>%。=21041
Button/Tooltip/TerranVehicleAndShipPlatingLevel1,为重工厂或星港生产的单位升级护甲。 /// Upgrades the armor of units built at a Factory or Starport.=21042
Button/Tooltip/TerranVehicleAndShipPlatingLevel2,进一步为在重工厂或星港所生产的单位升级护甲。 /// Further upgrades the armor of units built at a Factory or Starport.=21043
Button/Tooltip/TerranVehicleAndShipPlatingLevel3,使在重工厂或星港生产单位的护甲升级至最高。 /// Maximizes the armor of units built at a Factory or Starport.=21044
Button/Tooltip/TerranVehicleAndShipWeaponsLevel1,为重工厂或星港生产的单位升级造成的伤害。=21045
Button/Tooltip/TerranVehicleAndShipWeaponsLevel2,进一步为在重工厂或星港所生产的单位升级造成的伤害。=21046
Button/Tooltip/TerranVehicleAndShipWeaponsLevel3,使在重工厂或星港生产单位造成的伤害升级至最高。=21047
Button/Tooltip/TrainHERC,前线步兵。可以使用抓钩。<n/><n/><c val="#ColorAttackInfo">可以对地。</c> /// Front-line infantry. Can use Grapple.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>=21048
Button/Tooltip/VoidRaySwarmDamageBoost,重新校对虚空辉光舰的棱镜光束，使其在<d ref="Behavior,VoidRaySwarmDamageBoost,Duration[0]"/>秒内对重甲单位造成额外的<d ref="Behavior,VoidRaySwarmDamageBoost,Modification[0].DamageDealtAttributeScaled[Armored]"/>点伤害。 /// Realigns the Void Ray's Prismatic Beam to gain +<d ref="Behavior,VoidRaySwarmDamageBoost,Modification[0].DamageDealtAttributeScaled[Armored]"/> damage vs. armored units for <d ref="Behavior,VoidRaySwarmDamageBoost,Duration[0]"/> seconds.=21049
Button/Tooltip/VoidSwarmHostSpawnLocust,孵化2只蝗虫。蝗虫有<d ref="Behavior,LocustMPTimedLife,Duration"/>秒的限时生命。<n/><n/><c val="#ColorAttackInfo">可以对地。</c> /// Spawns 2 Locusts. Locusts have a <d ref="Behavior,LocustMPTimedLife,Duration"/> second timed life.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>=21050
Button/Tooltip/WarpInAdept,远程特种单位。可以使用灵能传送。<n/><n/><c val="#ColorAttackInfo">可以对地。</c> /// Ranged specialist. Can use Psionic Transfer.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>=21051
Button/Tooltip/WarpinDisruptor,机械干扰型单位。可以使用净化新星造成大量伤害。<n/><n/><c val="ffff8a">可以对地。</c> /// Robotic disruption unit. Can use Purification Nova to deal heavy area damage.<n/><n/><c val="ffff8a">Can attack ground units.</c>=21052
Button/Tooltip/XelNagaArtifact,显示萨尔纳加瞭望塔附近的区域。只能由地面单位激活。 /// Provides vision of the area surrounding the Xel'Naga Tower. Can only be activated by ground units.=21053
Button/Tooltip/XelNagaDestructibleRampBlocker6E,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21054
Button/Tooltip/XelNagaDestructibleRampBlocker6N,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21055
Button/Tooltip/XelNagaDestructibleRampBlocker6NE,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21056
Button/Tooltip/XelNagaDestructibleRampBlocker6NW,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21057
Button/Tooltip/XelNagaDestructibleRampBlocker6S,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21058
Button/Tooltip/XelNagaDestructibleRampBlocker6SE,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21059
Button/Tooltip/XelNagaDestructibleRampBlocker6SW,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21060
Button/Tooltip/XelNagaDestructibleRampBlocker6W,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21061
Button/Tooltip/XelNagaDestructibleRampBlocker8E,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21062
Button/Tooltip/XelNagaDestructibleRampBlocker8N,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21063
Button/Tooltip/XelNagaDestructibleRampBlocker8NE,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21064
Button/Tooltip/XelNagaDestructibleRampBlocker8NW,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21065
Button/Tooltip/XelNagaDestructibleRampBlocker8S,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21066
Button/Tooltip/XelNagaDestructibleRampBlocker8SE,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21067
Button/Tooltip/XelNagaDestructibleRampBlocker8SW,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21068
Button/Tooltip/XelNagaDestructibleRampBlocker8W,摧毁该路障可以打开前往新区域的通道。 /// Barrier that can be destroyed to allow access to new areas.=21069
Card/Name/AdeptPhaseShift,阴影 /// Shade=21070
Card/Name/LocustMPFlying,飞行=21071
Card/Name/LurkerMPBurrowed,已潜地=21072
Card/Name/RavagerBurrowed,已潜地=21073
Character/Description/HolidayChatter,节日活动随机台词 /// Random lines for holiday events=21074
Character/Name/HolidayChatter,节日问候员 /// Holiday Chatter=21075
Effect/Name/AdeptDamage,伤害=21076
Effect/Name/AdeptLM,LM=21077
Effect/Name/AdeptPhaseShiftCU,Phase Shift CU=21078
Effect/Name/AdeptPhaseShiftCancel,Phase Shift Cancel=21079
Effect/Name/AdeptPhaseShiftCancelAB,=21080
Effect/Name/AdeptPhaseShiftCasterAB,Phase Shift Caster AB=21081
Effect/Name/AdeptPhaseShiftInitialSet,Phase Shift Initial Set=21082
Effect/Name/AdeptPhaseShiftIssueOrder,Phase Shift Issue Order=21083
Effect/Name/AdeptPhaseShiftKillDummy,Phase Shift Kill Dummy=21084
Effect/Name/AdeptPhaseShiftRemoveDisablesSet,Phase Shift Remove Disables Set=21085
Effect/Name/AdeptPhaseShiftSelect,Phase Shift Select=21086
Effect/Name/AdeptPhaseShiftSpawnAB,Phase Shift Spawn AB=21087
Effect/Name/AdeptPhaseShiftSpawnSet,Phase Shift Spawn Set=21088
Effect/Name/AdeptPhaseShiftTeleport,Phase Shift Teleport=21089
Effect/Name/AdeptPhaseShiftTeleportSet,Phase Shift Teleport Set=21090
Effect/Name/AdeptPhaseShiftTimerSpawnAB,Phase Shift Timer Spawn AB=21091
Effect/Name/AdeptPhaseUnitOrderQueue,Phase Unit Order Queue=21092
Effect/Name/AdeptShadePhaseShiftCancel,Shade Phase Shift Cancel RB=21093
Effect/Name/AdeptShadePhaseShiftCancelCasterBehavior,Shade Phase Shift Cancel Caster Behavior RB=21094
Effect/Name/AdeptUpgradeApplyDeathCheck,Upgrade Apply Death Check=21095
Effect/Name/AdeptUpgradeDeathSearch,Upgrade Death Search=21096
Effect/Name/AdeptUpgradeLM,Upgrade LM=21097
Effect/Name/AdeptUpgradeSet,Upgrade Set=21098
Effect/Name/ArbiterMPCloakingFieldApply,ArbiterMP Cloaking Field (Apply)=21099
Effect/Name/ArbiterMPCloakingFieldSearch,ArbiterMP Cloaking Field (Search)=21100
Effect/Name/ArbiterMPRecallApplyPostRecallBehavior,ArbiterMP Recall (Apply Post-Recall Behavior)=21101
Effect/Name/ArbiterMPRecallApplyPreRecallBehavior,ArbiterMP Recall (Apply Pre-Recall Behavior)=21102
Effect/Name/ArbiterMPRecallSearch,ArbiterMP Recall (Search)=21103
Effect/Name/ArbiterMPRecallSet,ArbiterMP Recall (Set)=21104
Effect/Name/ArbiterMPRecallTeleport,ArbiterMP Recall (Teleport)=21105
Effect/Name/ArbiterMPStasisFieldApply,ArbiterMP Stasis Field (Apply)=21106
Effect/Name/ArbiterMPStasisFieldSearch,ArbiterMP Stasis Field (Search)=21107
Effect/Name/ArbiterMPStasisFieldSet,ArbiterMP Stasis Field (Set)=21108
Effect/Name/ArbiterMPStasisFieldTimerApply,ArbiterMP Stasis Field Timer (Apply)=21109
Effect/Name/ArbiterMPWeaponDamage,Arbiter MPWeapon Damage=21110
Effect/Name/ArbiterMPWeaponLaunch,Arbiter MPWeapon Launch=21111
Effect/Name/BuildCaltropsStartDummyTurret,Build Caltrops Start Dummy Turret=21112
Effect/Name/BuildCaltropsStopDummyTurret,Build Caltrops Stop Dummy Turret=21113
Effect/Name/CausticLevel1Damage,Caustic Level 1 Damage=21114
Effect/Name/CausticLevel2Damage,Caustic Level 2 Damage=21115
Effect/Name/CausticSprayLevel1LaunchMissile,Caustic Spray Level 1 Launch Missile=21116
Effect/Name/CausticSprayLevel1Persistent,Caustic Spray Level 1 Persistent=21117
Effect/Name/CausticSprayLevel2LaunchMissile,Caustic Spray Level 2 Launch Missile=21118
Effect/Name/CausticSprayLevel2Persistent,Caustic Spray Level 2 Persistent=21119
Effect/Name/CloakingDroneAB,Cloaking Drone AB=21120
Effect/Name/CloakingDroneRB,Cloaking Drone RB=21121
Effect/Name/CloakingFieldTargetedAB,Cloaking Field Targeted AB=21122
Effect/Name/CloakingFieldTargetedCP,Cloaking Field Targeted CP=21123
Effect/Name/CloakingFieldTargetedSearch,Cloaking Field Targeted Search=21124
Effect/Name/CollapsibleRockTowerIssueOrderRampLeftGreen,Collapsible Rock Tower (Ramp Left) (Green)=21125
Effect/Name/CollapsibleRockTowerIssueOrderRampRightGreen,Collapsible Rock Tower (Ramp Right) (Green)=21126
Effect/Name/CollapsibleRockTowerRampLeftGreenCP,Collapsible Rock Tower (Ramp Left) (Green) (CP)=21127
Effect/Name/CollapsibleRockTowerRampLeftGreenCPFinal,Collapsible Rock Tower (Ramp Left) (Green) (CPFinal)=21128
Effect/Name/CollapsibleRockTowerRampLeftGreenCreateDebris,Collapsible Rock Tower (Ramp Left) (Green) (Create Debris)=21129
Effect/Name/CollapsibleRockTowerRampRightGreenCP,Collapsible Rock Tower (Ramp Right) (Green) (CP)=21130
Effect/Name/CollapsibleRockTowerRampRightGreenCPFinal,Collapsible Rock Tower (Ramp Right) (Green) (CPFinal)=21131
Effect/Name/CollapsibleRockTowerRampRightGreenCreateDebris,Collapsible Rock Tower (Ramp Right) (Green) (Create Debris)=21132
Effect/Name/CollapsibleRockTowerRubbleCPRampLeftGreen,Collapsible Rock Tower Rubble CP (Ramp Left) (Green)=21133
Effect/Name/CollapsibleRockTowerRubbleCPRampRightGreen,Collapsible Rock Tower Rubble CP (Ramp Right) (Green)=21134
Effect/Name/CollapsibleRockTowerRubbleDamageRampLeftGreen,Collapsible Rock Tower Rubble Damage (Ramp Left) (Green)=21135
Effect/Name/CollapsibleRockTowerRubbleDamageRampLeftSetGreen,CollapsibleRockTowerRubbleDamageRampLeftSet (Unnamed) (Green)=21136
Effect/Name/CollapsibleRockTowerRubbleDamageRampRightGreen,Collapsible Rock Tower Rubble Damage (Ramp Right) (Green)=21137
Effect/Name/CollapsibleRockTowerRubbleDamageRampRightGreenSet,CollapsibleRockTowerRubbleDamageRampRightGreenSet=21138
Effect/Name/CollapsibleRockTowerRubbleDamageSearchRampLeftGreen,Collapsible Rock Tower Rubble Damage Search (Ramp Left) (Green)=21139
Effect/Name/CollapsibleRockTowerRubbleDamageSearchRampRightGreen,Collapsible Rock Tower Rubble Damage Search (Ramp Right) (Green)=21140
Effect/Name/CollapsibleRockTowerRubbleRemoveCasterRampLeftGreen,Collapsible Rock Tower Rubble Remove Caster (Ramp Left) (Green)=21141
Effect/Name/CollapsibleRockTowerRubbleRemoveCasterRampRightGreen,Collapsible Rock Tower Rubble Remove Caster (Ramp Right) (Green)=21142
Effect/Name/CorruptionBombApplyDamage,Corruption Bomb (Apply Damage)=21143
Effect/Name/CorruptionBombChannelDamage,Corruption Bomb (Channel Damage)=21144
Effect/Name/CorruptionBombChannelSearch,Corruption Bomb (Channel Search)=21145
Effect/Name/CorruptionBombDamage,Corruption Bomb (Damage)=21146
Effect/Name/CorruptionBombLaunchMissile,Corruption Bomb (Launch Missile)=21147
Effect/Name/CorruptionBombPersistent,Corruption Bomb (Persistent)=21148
Effect/Name/CorruptionBombSearch,Corruption Bomb (Search)=21149
Effect/Name/CorsairMPDisruptionWebApply,Disruption Web (Apply)=21150
Effect/Name/CorsairMPDisruptionWebCreatePersistent,Disruption Web (Create Persistent)=21151
Effect/Name/CorsairMPDisruptionWebSearch,Disruption Web (Search)=21152
Effect/Name/CycloneAirWeaponLaunchMissileLeft,Cyclone Air Weapon Launch Missile Left=21153
Effect/Name/CycloneAirWeaponLaunchMissileLeftSet,Cyclone Air Weapon Launch Missile Left Set=21154
Effect/Name/CycloneAirWeaponLaunchMissileRight,Cyclone Air Weapon Launch Missile Right=21155
Effect/Name/CycloneAirWeaponLaunchMissileRightSet,Cyclone Air Weapon Launch Missile Right Set=21156
Effect/Name/CycloneAirWeaponLaunchMissileSwitch,Cyclone Air Weapon Launch Missile Switch=21157
Effect/Name/CycloneAttackWeaponDamage,Cyclone Attack Weapon Damage=21158
Effect/Name/CycloneAttackWeaponLaunchMissileLeft,Cyclone Attack Weapon Launch Missile Left=21159
Effect/Name/CycloneAttackWeaponLaunchMissileLeftSet,Cyclone Attack Weapon Launch Missile Left Set=21160
Effect/Name/CycloneAttackWeaponLaunchMissileRight,Cyclone Attack Weapon Launch Missile Right=21161
Effect/Name/CycloneAttackWeaponLaunchMissileRightSet,Cyclone Attack Weapon Launch Missile Right Set=21162
Effect/Name/CycloneAttackWeaponLaunchMissileSwitch,Cyclone Attack Weapon Launch Missile Switch=21163
Effect/Name/CycloneFakeWeaponDummyDamage,Fake Weapon Dummy Damage=21164
Effect/Name/CycloneWeaponDamage,Cyclone Weapon Damage=21165
Effect/Name/CycloneWeaponLaunchMissileAlternateAB,Cyclone Weapon Launch Missile Alternate AB=21166
Effect/Name/CycloneWeaponLaunchMissileAlternateRB,Cyclone Weapon Launch Missile Alternate RB=21167
Effect/Name/CycloneWeaponLaunchMissileLeft,Cyclone Weapon Launch Missile Left=21168
Effect/Name/CycloneWeaponLaunchMissileLeftSet,Cyclone Weapon Launch Missile Left Set=21169
Effect/Name/CycloneWeaponLaunchMissileRight,Cyclone Weapon Launch Missile Right=21170
Effect/Name/CycloneWeaponLaunchMissileRightSet,Cyclone Weapon Launch Missile Right Set=21171
Effect/Name/CycloneWeaponLaunchMissileSwitch,Cyclone Weapon Launch Missile Switch=21172
Effect/Name/CycloneWeaponTurretClearLook,Cyclone Weapon Turret Clear Look=21173
Effect/Name/CycloneWeaponTurretLook,Cyclone Weapon Turret Look=21174
Effect/Name/DarkSwarmImpactDummy,Dark Swarm Impact Dummy=21175
Effect/Name/DefilerMPConsumeApplyBehavior,Consume Apply Behavior=21176
Effect/Name/DefilerMPConsumeModifyUnit,Consume Modify Unit=21177
Effect/Name/DefilerMPConsumeSet,Consume Set=21178
Effect/Name/DefilerMPDarkSwarmCreatePersistent,Dark Swarm Create Persistent=21179
Effect/Name/DefilerMPDarkSwarmSearch,黑暗虫群搜索=21180
Effect/Name/DefilerMPDarkSwarpApplyBehavior,Dark Swarp Apply Behavior=21181
Effect/Name/DefilerMPPlagueApplyBehavior,Plague Apply Behavior=21182
Effect/Name/DefilerMPPlagueDamage,Plague Damage=21183
Effect/Name/DefilerMPPlagueSearch,Plague Search=21184
Effect/Name/DevourerMPWeaponApply,Devourer MPWeapon Apply=21185
Effect/Name/DevourerMPWeaponDamage,Devourer MPWeapon Damage=21186
Effect/Name/DevourerMPWeaponLaunch,Devourer MPWeapon Launch=21187
Effect/Name/DevourerMPWeaponSearch,Devourer MPWeapon Search=21188
Effect/Name/DevourerMPWeaponSet,Devourer MPWeapon Set=21189
Effect/Name/FungalGrowthLaunchMissile,Fungal Growth (Launch Missile)=21190
Effect/Name/GrappleCasterInMotionApplyBehavior,Grapple Caster In Motion Apply Behavior=21191
Effect/Name/GrappleCasterInMotionRemoveBehavior,Grapple Caster In Motion Remove Behavior=21192
Effect/Name/GrappleCreatePlaceholder,Grapple Create Placeholder=21193
Effect/Name/GrappleCreatePlaceholderAB,Grapple Create Placeholder AB=21194
Effect/Name/GrappleCreatePlaceholderColossus,Grapple Create Placeholder Colossus=21195
Effect/Name/GrappleCreatePlaceholderRemove,Grapple Create Placeholder Remove=21196
Effect/Name/GrappleCreatePlaceholderSet,Grapple Create Placeholder Set=21197
Effect/Name/GrappleCreatePlaceholderSwitch,Grapple Create Placeholder Switch=21198
Effect/Name/GrappleImpactDummy,Grapple Impact Dummy=21199
Effect/Name/GrappleImpactSet,Grapple Impact Set=21200
Effect/Name/GrappleLM,Grapple LM=21201
Effect/Name/GrappleLaunchCaster,Grapple Launch Caster=21202
Effect/Name/GrappleLaunchCasterImpact,Grapple Launch Caster Impact=21203
Effect/Name/GrappleLaunchCasterImpactSet,Grapple Launch Caster Impact Set=21204
Effect/Name/GrappleLaunchCasterSwitch,Grapple Launch Caster Switch=21205
Effect/Name/GrapplePlaceholderIssueMove,Grapple Placeholder Issue Move=21206
Effect/Name/GrapplePlaceholderIssueStop,Grapple Placeholder Issue Stop=21207
Effect/Name/GrapplePlaceholderMoverAB,Grapple Placeholder Mover =21208
Effect/Name/GrapplePlaceholderMoverRB,Grapple Placeholder Mover =21209
Effect/Name/GrappleStunAB,Grapple Stun AB=21210
Effect/Name/GrappleStunSearch,Grapple Stun Search=21211
Effect/Name/GuardianMPWeaponDamage,Guardian MP Weapon Damage=21212
Effect/Name/GuardianMPWeaponLM,Guardian MP Weapon LM=21213
Effect/Name/HERCWeaponDamage,HERC Weapon Damage=21214
Effect/Name/HallucinationCreateAdept,Hallucination (Create Adept)=21215
Effect/Name/HallucinationCreateDisruptor,Hallucination (Create Disruptor)=21216
Effect/Name/HydraliskImpaleDamage,Hydralisk Impale Damage=21217
Effect/Name/HydraliskImpaleImpactSearch,Hydralisk Impale Impact Search=21218
Effect/Name/HydraliskImpaleLM,Hydralisk Impale LM=21219
Effect/Name/HydraliskImpaleMissileDummySearch,Hydralisk Impale Missile Dummy Search=21220
Effect/Name/HyperjumpCreatePrecursor,Hyperjump Create Precursor=21221
Effect/Name/HyperjumpTargetingSet,Hyperjump Targeting Set=21222
Effect/Name/HyperjumpTeleport,Hyperjump Teleport=21223
Effect/Name/HyperjumpTeleportAB,Hyperjump Teleport AB=21224
Effect/Name/HyperjumpTeleportInAB,Hyperjump Teleport In AB=21225
Effect/Name/HyperjumpTeleportOutAB,Hyperjump Teleport Out AB=21226
Effect/Name/HyperjumpTeleportSet,Hyperjump Teleport Set=21227
Effect/Name/ImmortalOverloadAB,Immortal Overload AB=21228
Effect/Name/JavelinMissileLaunchers,标枪导弹发射筒=21229
Effect/Name/KD8Charge,KD8 Charge=21230
Effect/Name/KD8ChargeEndSet,KD8 Charge End Set=21231
Effect/Name/KD8ChargeExplodeDamage,KD8 Charge Explode Damage=21232
Effect/Name/KD8ChargeInitialSet,KD8 Charge Initial Set=21233
Effect/Name/KD8ChargeLM,KD8 Charge LM=21234
Effect/Name/KD8ChargeLaunch,KD8 Charge Launch=21235
Effect/Name/KD8PrecursorUnitKnockbackAB,KD8 Precursor Unit Knockback AB=21236
Effect/Name/KD8SearchArea,KD8 Search Area=21237
Effect/Name/LanceMissileLaunchers,Lance Missile Launchers=21238
Effect/Name/LanceMissileLaunchersDamage,Lance Missile Launchers (Damage)=21239
Effect/Name/LanceMissileLaunchersLaunchMissile,Lance Missile Launchers (Launch Missile)=21240
Effect/Name/LiberatorAGDamage,Dreadnought AG Damage=21241
Effect/Name/LiberatorAGDamageSet,Dreadnought AG Damage Set=21242
Effect/Name/LiberatorAGMissileLM,Dreadnought AG Missile LM=21243
Effect/Name/LiberatorAGMissileLMSet,Liberator AG Missile LM Set=21244
Effect/Name/LiberatorDamageMissileLM,Liberator Damage Missile LM=21245
Effect/Name/LiberatorInterruptedMorphDelayPersistent,Liberator Interrupted Morph Delay Persistent=21246
Effect/Name/LiberatorMissileBurstPersistent,Dreadnought Missile Burst Persistent=21247
