Actor/EditorSuffix/GuideVisualQuadSplat,(미사용) /// (Deprecated)=0
RequirementNode/Name/UltraliskCavernSCBW,=28868
RequirementNode/Name/UltraliskCavernSCBW@AllowUnit,Allow Unit=28869
RequirementNode/Name/UltraliskCavernSCBW@Count,Count=28870
RequirementNode/Name/UltraliskCavernSCBW@CountAtUnit,Count At Unit=28871
RequirementNode/Name/UltraliskCavernSCBW@NotCount,Not Count=28872
RequirementNode/Name/UltraliskCavernSCBW@NotCountAtUnit,Not Count At Unit=28873
RequirementNode/Name/UltraliskCavernSCBW@NotQoB,Not QoB=28874
RequirementNode/Name/UltraliskCavernSCBW@NotQoBAtUnit,Not QoB At Unit=28875
RequirementNode/Name/UltraliskCavernSCBW@QoB,QoB=28876
RequirementNode/Name/UltraliskCavernSCBW@QoBAtUnit,QoB At Unit=28877
RequirementNode/Name/UltraliskCavernSCBW@Show,Show=28878
RequirementNode/Name/UltraliskSCBW,=28879
RequirementNode/Name/UltraliskSCBW@AllowUnit,Allow Unit=28880
RequirementNode/Name/UltraliskSCBW@BurrowDown,Burrow=28881
RequirementNode/Name/UltraliskSCBW@Count,Count=28882
RequirementNode/Name/UltraliskSCBW@CountAtUnit,Count At Unit=28883
RequirementNode/Name/UltraliskSCBW@NotCount,Not Count=28884
RequirementNode/Name/UltraliskSCBW@NotCountAtUnit,Not Count At Unit=28885
RequirementNode/Name/UltraliskSCBW@NotQoB,Not QoB=28886
RequirementNode/Name/UltraliskSCBW@NotQoBAtUnit,Not QoB At Unit=28887
RequirementNode/Name/UltraliskSCBW@QoB,QoB=28888
RequirementNode/Name/UltraliskSCBW@QoBAtUnit,QoB At Unit=28889
RequirementNode/Name/UltraliskSCBW@Show,Show=28890
RequirementNode/Name/UltraliskSCBWArmorUpgrade@Allow,Allow=28891
RequirementNode/Name/UltraliskSCBWArmorUpgrade@Count,Count Complete=28892
RequirementNode/Name/UltraliskSCBWArmorUpgrade@NotQoB,Not QoB=28893
RequirementNode/Name/UltraliskSCBWArmorUpgrade@QoB,QoB=28894
RequirementNode/Name/UltraliskSCBWArmorUpgrade@Show,Show=28895
RequirementNode/Name/UltraliskSCBWSpeedUpgrade@Allow,Allow=28896
RequirementNode/Name/UltraliskSCBWSpeedUpgrade@Count,Count Complete=28897
RequirementNode/Name/UltraliskSCBWSpeedUpgrade@NotQoB,Not QoB=28898
RequirementNode/Name/UltraliskSCBWSpeedUpgrade@QoB,QoB=28899
RequirementNode/Name/UltraliskSCBWSpeedUpgrade@Show,Show=28900
RequirementNode/Name/UnfriendlyNukeIndicator@Count,Count=28901
RequirementNode/Name/ValkyrieSCBW,Requirement Node=28902
RequirementNode/Name/ValkyrieSCBW@AllowUnit,Allow Unit=28903
RequirementNode/Name/ValkyrieSCBW@Show,Show=28904
RequirementNode/Name/VulturePlaceSpiderMineSCBWResearch@Count,Count Complete=28905
RequirementNode/Name/VulturePlaceSpiderMineSCBWResearch@QoB,QoB=28906
RequirementNode/Name/VulturePlaceSpiderMineSCBWResearch@Show,Show=28907
RequirementNode/Name/VultureSCBW,Requirement Node=28908
RequirementNode/Name/VultureSCBW@AllowUnit,Allow Unit=28909
RequirementNode/Name/VultureSCBW@Show,Show=28910
RequirementNode/Name/VultureSCBWSpeedUpgrade@Allow,Allow=28911
RequirementNode/Name/VultureSCBWSpeedUpgrade@Count,Count Complete=28912
RequirementNode/Name/VultureSCBWSpeedUpgrade@NotQoB,NotQoB=28913
RequirementNode/Name/VultureSCBWSpeedUpgrade@QoB,QoB=28914
RequirementNode/Name/VultureSCBWSpeedUpgrade@Show,Show=28915
RequirementNode/Name/WraithSCBW,Requirement Node=28916
RequirementNode/Name/WraithSCBW@AllowUnit,Allow Unit=28917
RequirementNode/Name/WraithSCBW@Show,Show=28918
RequirementNode/Name/WraithSCBWCloakResearch@Count,Count Complete=28919
RequirementNode/Name/WraithSCBWCloakResearch@NotQoB,NotQoB=28920
RequirementNode/Name/WraithSCBWCloakResearch@QoB,QoB=28921
RequirementNode/Name/WraithSCBWCloakResearch@Show,Show=28922
RequirementNode/Name/WraithSCBWEnergyUpgrade@Allow,Allow=28923
RequirementNode/Name/WraithSCBWEnergyUpgrade@Count,Count Complete=28924
RequirementNode/Name/WraithSCBWEnergyUpgrade@NotQoB,Not QoB=28925
RequirementNode/Name/WraithSCBWEnergyUpgrade@QoB,QoB=28926
RequirementNode/Name/WraithSCBWEnergyUpgrade@Show,Show=28927
RequirementNode/Name/ZealotSCBW@AllowUnit,Allow Unit=28928
RequirementNode/Name/ZealotSCBW@Count,Count=28929
RequirementNode/Name/ZealotSCBW@NotQoB,Not QoB=28930
RequirementNode/Name/ZealotSCBW@NotQoBAtUnit,NotQoBAtUnit=28931
RequirementNode/Name/ZealotSCBW@QoB,QoB=28932
RequirementNode/Name/ZealotSCBW@QoBAtUnit,QoBAtUnit=28933
RequirementNode/Name/ZealotSCBW@Show,Show=28934
RequirementNode/Name/ZealotSCBWSpeedUpgrade@Allow,Allow=28935
RequirementNode/Name/ZealotSCBWSpeedUpgrade@Count,Count Complete=28936
RequirementNode/Name/ZealotSCBWSpeedUpgrade@NotQoB,NotQoB=28937
RequirementNode/Name/ZealotSCBWSpeedUpgrade@QoB,QoB=28938
RequirementNode/Name/ZealotSCBWSpeedUpgrade@Show,Show=28939
RequirementNode/Name/ZergFlyerAttacksSCBW@Count,Count=28940
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl1,Lvl1=28941
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl1Count,Lvl1 Count=28942
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl1NotQoB,Lvl1 Not QoB=28943
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl1QoB,Lvl1 QoB=28944
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl1Show,Lvl1 Show=28945
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl2,Lvl2=28946
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl2Count,Lvl2 Count=28947
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl2NotQoB,Lvl2 Not QoB=28948
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl2QoB,Lvl2 QoB=28949
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl2Show,Lvl2 Show=28950
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl3,Lvl3=28951
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl3Count,Lvl3 Count=28952
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl3NotQoB,Lvl3 Not QoB=28953
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl3QoB,Lvl3 QoB=28954
RequirementNode/Name/ZergFlyerAttacksSCBW@Lvl3Show,Lvl3 Show=28955
RequirementNode/Name/ZergFlyerAttacksSCBW@QoB,QoB=28956
RequirementNode/Name/ZergFlyerAttacksSCBW@Show,Show=28957
RequirementNode/Name/ZergFlyerCarapaceSCBW@Count2,Count=28958
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl1,Lvl1=28959
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl1Count,Lvl1 Count=28960
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl1NotQoB,Lvl1 Not QoB=28961
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl1QoB,Lvl1 QoB=28962
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl1Show,Lvl1 Show=28963
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl2,Lvl2=28964
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl2Count,Lvl2 Count=28965
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl2NotQoB,Lvl2 Not QoB=28966
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl2QoB,Lvl2 QoB=28967
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl2Show,Lvl2 Show=28968
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl3,Lvl3=28969
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl3Count,Lvl3 Count=28970
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl3NotQoB,Lvl3 Not QoB=28971
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl3QoB,Lvl3 QoB=28972
RequirementNode/Name/ZergFlyerCarapaceSCBW@Lvl3Show,Lvl3 Show=28973
RequirementNode/Name/ZergFlyerCarapaceSCBW@QoB2,QoB=28974
RequirementNode/Name/ZergFlyerCarapaceSCBW@Show,Show=28975
RequirementNode/Name/ZergGroundCarapaceSCBW@Count2,Count=28976
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl1,Lvl1=28977
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl1Count,Lvl1 Count=28978
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl1NotQoB,Lvl1 Not QoB=28979
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl1QoB,Lvl1 QoB=28980
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl1Show,Lvl1 Show=28981
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl2,Lvl2=28982
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl2Count,Lvl2 Count=28983
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl2NotQoB,Lvl2 Not QoB=28984
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl2QoB,Lvl2 QoB=28985
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl2Show,Lvl2 Show=28986
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl3,Lvl3=28987
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl3Count,Lvl3 Count=28988
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl3NotQoB,Lvl3 Not QoB=28989
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl3QoB,Lvl3 QoB=28990
RequirementNode/Name/ZergGroundCarapaceSCBW@Lvl3Show,Lvl3 Show=28991
RequirementNode/Name/ZergGroundCarapaceSCBW@QoB2,QoB=28992
RequirementNode/Name/ZergGroundCarapaceSCBW@Show,Show=28993
RequirementNode/Name/ZergMeleeAttacksSCBW@Count,Count=28994
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl1,Lvl1=28995
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl1Count,Lvl1 Count=28996
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl1NotQoB,Lvl1 Not QoB=28997
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl1QoB,Lvl1 QoB=28998
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl1Show,Lvl1 Show=28999
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl2,Lvl2=29000
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl2Count,Lvl2 Count=29001
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl2NotQoB,Lvl2 Not QoB=29002
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl2QoB,Lvl2 QoB=29003
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl2Show,Lvl2 Show=29004
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl3,Lvl3=29005
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl3Count,Lvl3 Count=29006
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl3NotQoB,Lvl3 Not QoB=29007
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl3QoB,Lvl3 QoB=29008
RequirementNode/Name/ZergMeleeAttacksSCBW@Lvl3Show,Lvl3 Show=29009
RequirementNode/Name/ZergMeleeAttacksSCBW@QoB,QoB=29010
RequirementNode/Name/ZergMeleeAttacksSCBW@Show,Show=29011
RequirementNode/Name/ZergMissileAttacksSCBW@Count,Count=29012
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl1,Lvl1=29013
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl1Count,Lvl1 Count=29014
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl1NotQoB,Lvl1 Not QoB=29015
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl1QoB,Lvl1 QoB=29016
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl1Show,Lvl1 Show=29017
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl2,Lvl2=29018
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl2Count,Lvl2 Count=29019
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl2NotQoB,Lvl2 Not QoB=29020
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl2QoB,Lvl2 QoB=29021
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl2Show,Lvl2 Show=29022
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl3,Lvl3=29023
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl3Count,Lvl3 Count=29024
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl3NotQoB,Lvl3 Not QoB=29025
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl3QoB,Lvl3 QoB=29026
RequirementNode/Name/ZergMissileAttacksSCBW@Lvl3Show,Lvl3 Show=29027
RequirementNode/Name/ZergMissileAttacksSCBW@QoB,QoB=29028
RequirementNode/Name/ZergMissileAttacksSCBW@Show,Show=29029
RequirementNode/Name/ZergSCBWBurrowResearch,=29030
RequirementNode/Name/ZergSCBWBurrowResearch@Count,Count Complete=29031
RequirementNode/Name/ZergSCBWBurrowResearch@NotCount,Not Count=29032
RequirementNode/Name/ZergSCBWBurrowResearch@NotQoB,Not QoB=29033
RequirementNode/Name/ZergSCBWBurrowResearch@QoB,QoB=29034
RequirementNode/Name/ZergSCBWBurrowResearch@Show,Show=29035
RequirementNode/Name/ZerglingSCBW@AllowUnit,Allow Unit=29036
RequirementNode/Name/ZerglingSCBW@BurrowDown,Burrow=29037
RequirementNode/Name/ZerglingSCBW@Count,Count=29038
RequirementNode/Name/ZerglingSCBW@CountAtUnit,Count At Unit=29039
RequirementNode/Name/ZerglingSCBW@NotCount,Not Count=29040
RequirementNode/Name/ZerglingSCBW@NotCountAtUnit,Not Count At Unit=29041
RequirementNode/Name/ZerglingSCBW@NotQoB,Not QoB=29042
RequirementNode/Name/ZerglingSCBW@NotQoBAtUnit,Not QoB At Unit=29043
RequirementNode/Name/ZerglingSCBW@QoB,QoB=29044
RequirementNode/Name/ZerglingSCBW@QoBAtUnit,QoB At Unit=29045
RequirementNode/Name/ZerglingSCBW@Show,Show=29046
RequirementNode/Name/ZerglingSCBWAttackSpeedUpgrade,=29047
RequirementNode/Name/ZerglingSCBWAttackSpeedUpgrade@Allow,Allow=29048
RequirementNode/Name/ZerglingSCBWAttackSpeedUpgrade@Count,Count Complete=29049
RequirementNode/Name/ZerglingSCBWAttackSpeedUpgrade@NotCount,Not Count=29050
RequirementNode/Name/ZerglingSCBWAttackSpeedUpgrade@NotQoB,Not QoB=29051
RequirementNode/Name/ZerglingSCBWAttackSpeedUpgrade@QoB,QoB=29052
RequirementNode/Name/ZerglingSCBWAttackSpeedUpgrade@Show,Show=29053
RequirementNode/Name/ZerglingSCBWAttackSpeedUpgrade@Use,Use=29054
RequirementNode/Name/ZerglingSCBWSpeedUpgrade,=29055
RequirementNode/Name/ZerglingSCBWSpeedUpgrade@Allow,Allow=29056
RequirementNode/Name/ZerglingSCBWSpeedUpgrade@Count,Count Complete=29057
RequirementNode/Name/ZerglingSCBWSpeedUpgrade@NotCount,Not Count=29058
RequirementNode/Name/ZerglingSCBWSpeedUpgrade@NotQoB,Not QoB=29059
RequirementNode/Name/ZerglingSCBWSpeedUpgrade@QoB,QoB=29060
RequirementNode/Name/ZerglingSCBWSpeedUpgrade@Show,Show=29061
Sound/EditorPrefix/GoliathSCBWWeaponGround@Launch,=29062
Sound/EditorSuffix/Alert_ProtossCalldownLaunchSCBW,=29063
Sound/EditorSuffix/Alert_TerranCalldownLaunchSCBW,=29064
Sound/EditorSuffix/Alert_ZergCalldownLaunchSCBW,=29065
Sound/Name/AcademySCBW@Explode,Explode=29066
Sound/Name/AcademySCBW@Ready,Ready=29067
Sound/Name/AcademySCBW@What,What=29068
Sound/Name/AckSCBW,AckSCBW=29069
Sound/Name/AlertProtossSCBW,AlertProtossSCBW=29070
Sound/Name/AlertSCBW,AlertSCBW=29071
Sound/Name/AlertTerranSCBW,AlertTerranSCBW=29072
Sound/Name/AlertZergSCBW,AlertZergSCBW=29073
Sound/Name/Alert_ProtossBaseUnderAttackSCBW,Alert_ProtossBaseUnderAttackSCBW =29074
Sound/Name/Alert_ProtossCalldownLaunchSCBW,Alert_ProtossCalldownLaunchSCBW =29075
Sound/Name/Alert_ProtossForcesUnderAttackSCBW,Alert_ProtossForcesUnderAttackSCBW =29076
Sound/Name/Alert_ProtossNeedMoreFoodSCBW,Alert_ProtossNeedMoreFoodSCBW =29077
Sound/Name/Alert_ProtossNeedMoreGasSCBW,Alert_ProtossNeedMoreGasSCBW =29078
Sound/Name/Alert_ProtossNeedMoreMineralsSCBW,Alert_ProtossNeedMoreMineralsSCBW =29079
Sound/Name/Alert_ProtossNotEnoughEnergySCBW,Alert_ProtossNotEnoughEnergySCBW =29080
Sound/Name/Alert_ProtossResearchCompleteSCBW,Alert_ProtossResearchCompleteSCBW =29081
Sound/Name/Alert_ProtossUpgradeCompleteSCBW,Alert_ProtossUpgradeCompleteSCBW =29082
Sound/Name/Alert_TerranBaseUnderAttackSCBW,Alert_TerranBaseUnderAttackSCBW =29083
Sound/Name/Alert_TerranCalldownLaunchSCBW,Alert_TerranCalldownLaunchSCBW =29084
Sound/Name/Alert_TerranForcesUnderAttackSCBW,Alert_TerranForcesUnderAttackSCBW =29085
Sound/Name/Alert_TerranNeedMoreFoodSCBW,Alert_TerranNeedMoreFoodSCBW =29086
Sound/Name/Alert_TerranNeedMoreGasSCBW,Alert_TerranNeedMoreGasSCBW =29087
Sound/Name/Alert_TerranNeedMoreMineralsSCBW,Alert_TerranNeedMoreMineralsSCBW =29088
Sound/Name/Alert_TerranNotEnoughEnergySCBW,Alert_TerranNotEnoughEnergySCBW =29089
Sound/Name/Alert_TerranResearchCompleteSCBW,Alert_TerranResearchCompleteSCBW =29090
Sound/Name/Alert_TerranUpgradeCompleteSCBW,Alert_TerranUpgradeCompleteSCBW =29091
Sound/Name/Alert_ZergBaseUnderAttackSCBW,Alert_ZergBaseUnderAttackSCBW =29092
Sound/Name/Alert_ZergBuildError_BWZe,Alert_ZergBuildError_BWZe=29093
Sound/Name/Alert_ZergCalldownLaunchSCBW,Alert_ZergCalldownLaunchSCBW =29094
Sound/Name/Alert_ZergEconomyUnderAttack_BWZe,Alert_ZergEconomyUnderAttack_BWZe=29095
Sound/Name/Alert_ZergForcesUnderAttackSCBW,Alert_ZergForcesUnderAttackSCBW =29096
Sound/Name/Alert_ZergNeedMoreFoodSCBW,Alert_ZergNeedMoreFoodSCBW =29097
Sound/Name/Alert_ZergNeedMoreGasSCBW,Alert_ZergNeedMoreGasSCBW =29098
Sound/Name/Alert_ZergNeedMoreMineralsSCBW,Alert_ZergNeedMoreMineralsSCBW =29099
Sound/Name/Alert_ZergNotEnoughEnergySCBW,Alert_ZergNotEnoughEnergySCBW =29100
Sound/Name/Alert_ZergResearchCompleteSCBW,Alert_ZergResearchCompleteSCBW =29101
Sound/Name/Alert_ZergUpgradeCompleteSCBW,Alert_ZergUpgradeCompleteSCBW =29102
Sound/Name/ArbiterSCBW@Attack,Attack=29103
Sound/Name/ArbiterSCBW@Death,Death=29104
Sound/Name/ArbiterSCBW@Help,Help=29105
Sound/Name/ArbiterSCBW@Land,Land=29106
Sound/Name/ArbiterSCBW@LandSoundSweetener,LandSoundSweetener=29107
Sound/Name/ArbiterSCBW@Pissed,Pissed=29108
Sound/Name/ArbiterSCBW@Ready,Ready=29109
Sound/Name/ArbiterSCBW@What,What=29110
Sound/Name/ArbiterSCBW@Yes,Yes=29111
Sound/Name/ArbiterSCBWCloakField@Off,Off=29112
Sound/Name/ArbiterSCBWCloakField@On,On=29113
Sound/Name/ArbiterSCBWRecall@End,End=29114
Sound/Name/ArbiterSCBWRecall@Start,Start=29115
Sound/Name/ArbiterSCBWStasisField@Off,Off=29116
Sound/Name/ArbiterSCBWStasisField@On,On=29117
Sound/Name/ArbiterSCBWStasisField@Shockwave,Shockwave=29118
Sound/Name/ArbiterSCBWWeapon@Impact,Impact=29119
Sound/Name/ArbiterSCBWWeapon@Launch,Launch=29120
Sound/Name/ArbiterTribunalSCBW@Explode,Explode=29121
Sound/Name/ArbiterTribunalSCBW@Ready,Ready=29122
Sound/Name/ArbiterTribunalSCBW@What,What=29123
Sound/Name/ArchonSCBW@Attack,Attack=29124
Sound/Name/ArchonSCBW@Death,Death=29125
Sound/Name/ArchonSCBW@Explode,Explode=29126
Sound/Name/ArchonSCBW@Help,Help=29127
Sound/Name/ArchonSCBW@Land,Land=29128
Sound/Name/ArchonSCBW@LandSweetener,LandSweetener=29129
Sound/Name/ArchonSCBW@Pissed,Pissed=29130
Sound/Name/ArchonSCBW@Ready,Ready=29131
Sound/Name/ArchonSCBW@What,What=29132
Sound/Name/ArchonSCBW@Yes,Yes=29133
Sound/Name/ArchonSCBWMerge@Sound,Sound=29134
Sound/Name/ArchonSCBWWeapon@Impact,Impact=29135
Sound/Name/ArchonSCBWWeapon@Launch,Launch=29136
Sound/Name/ArmorySCBW@Explode,Explode=29137
Sound/Name/ArmorySCBW@Ready,Ready=29138
Sound/Name/ArmorySCBW@What,What=29139
Sound/Name/AssimilatorSCBW@Explode,Explode=29140
Sound/Name/AssimilatorSCBW@Ready,Ready=29141
Sound/Name/AssimilatorSCBW@What,What=29142
Sound/Name/BarracksSCBW@Explode,Explode=29143
Sound/Name/BarracksSCBW@Land,Land=29144
Sound/Name/BarracksSCBW@LiftOff,LiftOff=29145
Sound/Name/BarracksSCBW@Movement,Movement=29146
Sound/Name/BarracksSCBW@Ready,Ready=29147
Sound/Name/BarracksSCBW@What,What=29148
Sound/Name/BattlecruiserSCBW@Attack,Attack=29149
Sound/Name/BattlecruiserSCBW@Death,Death=29150
Sound/Name/BattlecruiserSCBW@Help,Help=29151
Sound/Name/BattlecruiserSCBW@Land,Land=29152
Sound/Name/BattlecruiserSCBW@Movement,Movement=29153
Sound/Name/BattlecruiserSCBW@Pissed,Pissed=29154
Sound/Name/BattlecruiserSCBW@Ready,Ready=29155
Sound/Name/BattlecruiserSCBW@What,What=29156
Sound/Name/BattlecruiserSCBW@Yes,Yes=29157
Sound/Name/BattlecruiserSCBWWeaponAir@Impact,Impact=29158
Sound/Name/BattlecruiserSCBWWeaponAir@Launch,Launch=29159
Sound/Name/BattlecruiserSCBWWeaponGround@Impact,Impact=29160
Sound/Name/BattlecruiserSCBWWeaponGround@Launch,Launch=29161
Sound/Name/BattlecruiserSCBWYamato@ChargeUp,ChargeUp=29162
Sound/Name/BattlecruiserSCBWYamato@Impact,Impact=29163
Sound/Name/BattlecruiserSCBWYamato@Launch,Launch=29164
Sound/Name/BroodlingSCBW@Attack,Attack=29165
Sound/Name/BroodlingSCBW@Death,Death=29166
Sound/Name/BroodlingSCBW@DeathFXAcid,DeathFXAcid=29167
Sound/Name/BroodlingSCBW@DeathFXFire,DeathFXFire=29168
Sound/Name/BroodlingSCBW@Explode,Explode=29169
Sound/Name/BroodlingSCBW@Pissed,Pissed=29170
Sound/Name/BroodlingSCBW@Ready,Ready=29171
Sound/Name/BroodlingSCBW@What,What=29172
Sound/Name/BroodlingSCBW@Yes,Yes=29173
Sound/Name/BroodlingSCBWWeapon@Impact,Impact=29174
Sound/Name/BroodlingSCBWWeapon@Launch,Launch=29175
Sound/Name/Bullet_Whiz,Bullet_Whiz=29176
Sound/Name/BunkerSCBW@Explode,Explode=29177
Sound/Name/BunkerSCBW@Load,Load=29178
Sound/Name/BunkerSCBW@Ready,Ready=29179
Sound/Name/BunkerSCBW@Unload,Unload=29180
Sound/Name/BunkerSCBW@What,What=29181
Sound/Name/CarrierSCBW@Attack,Attack=29182
Sound/Name/CarrierSCBW@Death,Death=29183
Sound/Name/CarrierSCBW@Help,Help=29184
Sound/Name/CarrierSCBW@Land,Land=29185
Sound/Name/CarrierSCBW@Movement,Movement=29186
Sound/Name/CarrierSCBW@Pissed,Pissed=29187
Sound/Name/CarrierSCBW@Ready,Ready=29188
Sound/Name/CarrierSCBW@What,What=29189
Sound/Name/CarrierSCBW@Yes,Yes=29190
Sound/Name/CarrierSCBWWeapon@Launch,Launch=29191
Sound/Name/CitadelOfAdunSCBW@Explode,Explode=29192
Sound/Name/CitadelOfAdunSCBW@Ready,Ready=29193
Sound/Name/CitadelOfAdunSCBW@What,What=29194
Sound/Name/CommandCenterSCBW@Explode,Explode=29195
Sound/Name/CommandCenterSCBW@Land,Land=29196
Sound/Name/CommandCenterSCBW@LiftOff,LiftOff=29197
Sound/Name/CommandCenterSCBW@Movement,Movement=29198
Sound/Name/CommandCenterSCBW@Ready,Ready=29199
Sound/Name/CommandCenterSCBW@What,What=29200
Sound/Name/ComsatStationSCBW@Birth,Birth=29201
Sound/Name/ComsatStationSCBW@Explode,Explode=29202
Sound/Name/ComsatStationSCBW@Ready,Ready=29203
Sound/Name/ComsatStationSCBW@What,What=29204
Sound/Name/ComsatStationSCBWScannerSweep@Launch,Launch=29205
Sound/Name/ComsatStationSCBWScannerSweep@LaunchOthers,Launch Others=29206
Sound/Name/ControlTowerSCBW@Birth,Birth=29207
Sound/Name/ControlTowerSCBW@Explode,Explode=29208
Sound/Name/ControlTowerSCBW@Ready,Ready=29209
Sound/Name/ControlTowerSCBW@What,What=29210
Sound/Name/CorsairSCBW@Attack,Attack=29211
Sound/Name/CorsairSCBW@Death,Death=29212
Sound/Name/CorsairSCBW@Help,Help=29213
Sound/Name/CorsairSCBW@Land,Land=29214
Sound/Name/CorsairSCBW@Movement,Movement=29215
Sound/Name/CorsairSCBW@Pissed,Pissed=29216
Sound/Name/CorsairSCBW@Ready,Ready=29217
Sound/Name/CorsairSCBW@What,What=29218
Sound/Name/CorsairSCBW@Yes,Yes=29219
Sound/Name/CorsairSCBWDisruptionWeb@Launch,Launch=29220
Sound/Name/CorsairSCBWDisruptionWeb@Loop,Loop=29221
Sound/Name/CorsairSCBWWeapon@Impact,Impact=29222
Sound/Name/CorsairSCBWWeapon@ImpactAlt,Impact Alternate=29223
Sound/Name/CorsairSCBWWeapon@Launch,Launch=29224
Sound/Name/CovertOpsSCBW@Birth,Birth=29225
Sound/Name/CovertOpsSCBW@Explode,Explode=29226
Sound/Name/CovertOpsSCBW@Ready,Ready=29227
Sound/Name/CovertOpsSCBW@What,What=29228
Sound/Name/CreepColonySCBW@Explode,Explode=29229
Sound/Name/CreepColonySCBW@Hatch,Hatch=29230
Sound/Name/CreepColonySCBW@Ready,Ready=29231
Sound/Name/CreepColonySCBW@What,What=29232
Sound/Name/CyberneticsCoreSCBW@Explode,Explode=29233
Sound/Name/CyberneticsCoreSCBW@Ready,Ready=29234
Sound/Name/CyberneticsCoreSCBW@What,What=29235
Sound/Name/DarkArchonSCBW@Attack,Attack=29236
Sound/Name/DarkArchonSCBW@Death,Death=29237
Sound/Name/DarkArchonSCBW@Help,Help=29238
Sound/Name/DarkArchonSCBW@Pissed,Pissed=29239
Sound/Name/DarkArchonSCBW@Ready,Ready=29240
Sound/Name/DarkArchonSCBW@What,What=29241
Sound/Name/DarkArchonSCBW@Yes,Yes=29242
Sound/Name/DarkArchonSCBWFeedback@Impact,Impact=29243
Sound/Name/DarkArchonSCBWFeedback@Launch,Launch=29244
Sound/Name/DarkArchonSCBWMaelstrom@Launch,Launch=29245
Sound/Name/DarkArchonSCBWMerge@Sound,Sound=29246
