AUTHENTICATION_BETA_REGION,베타 /// Beta=0
Unit/Name/PortCity_Bridge_UnitW10Out,항구 도시 다리 유닛 서10 밖=21787
Unit/Name/PortCity_Bridge_UnitW12,항구 도시 다리 유닛 서12=21788
Unit/Name/PortCity_Bridge_UnitW12Out,항구 도시 다리 유닛 서12 밖=21789
Unit/Name/PortCity_Bridge_UnitW8,항구 도시 다리 유닛 서8=21790
Unit/Name/PortCity_Bridge_UnitW8Out,항구 도시 다리 유닛 서8 밖=21791
Unit/Name/PurifierMineralField,광물 지대 /// Mineral Field=21792
Unit/Name/PurifierMineralField750,광물 지대 /// Mineral Field=21793
Unit/Name/PurifierRichMineralField,풍부한 광물 지대 /// Rich Mineral Field=21794
Unit/Name/PurifierRichMineralField750,풍부한 광물 지대 /// Rich Mineral Field=21795
Unit/Name/QueenMP,무리 여왕 /// Brood Queen=21796
Unit/Name/QueenMPEnsnareMissile,여왕 MP속박 미사일=21797
Unit/Name/QueenMPSpawnBroodlingsMissile,여왕 MP생성 공생충 미사일=21798
Unit/Name/ReleaseInterceptorsBeacon,요격기 출격 신호소=21799
Unit/Name/Replicant,복제자 /// Replicant=21800
Unit/Name/ReptileCrate,파충류 상자 /// Reptile Crate=21801
Unit/Name/ScourgeMP,갈귀 /// Scourge=21802
Unit/Name/ScoutMP,정찰기 /// Scout =21803
Unit/Name/ScoutMPAirWeaponLeft,정찰기 MP공중 무기 왼쪽=21804
Unit/Name/ScoutMPAirWeaponRight,정찰기 MP공중 무기 오른쪽=21805
Unit/Name/SeekerMissile,추적 미사일 /// Seeker Missile=21806
Unit/Name/ShakurasLightBridgeNE10,=21807
Unit/Name/ShakurasLightBridgeNE10Out,=21808
Unit/Name/ShakurasLightBridgeNE12,=21809
Unit/Name/ShakurasLightBridgeNE12Out,=21810
Unit/Name/ShakurasLightBridgeNE8,=21811
Unit/Name/ShakurasLightBridgeNE8Out,=21812
Unit/Name/ShakurasLightBridgeNW10,=21813
Unit/Name/ShakurasLightBridgeNW10Out,=21814
Unit/Name/ShakurasLightBridgeNW12,=21815
Unit/Name/ShakurasLightBridgeNW12Out,=21816
Unit/Name/ShakurasLightBridgeNW8,=21817
Unit/Name/ShakurasLightBridgeNW8Out,=21818
Unit/Name/SlaynElemental,슬레인 원시 생물 /// Slayn Elemental=21819
Unit/Name/SlaynElementalGrabAirUnit,태양석 고치 /// Solarite Cocoon=21820
Unit/Name/SlaynElementalGrabGroundUnit,태양석 고치 /// Solarite Cocoon=21821
Unit/Name/SlaynElementalGrabWeapon,슬레인 원시 생물 움켜잡기 무기=21822
Unit/Name/SlaynElementalWeapon,슬레인 원시 생물 무기=21823
Unit/Name/SlaynSwarmHostSpawnFlyer,시체딱정벌레 /// Dirge Beetle=21824
Unit/Name/SnowRefinery_Terran_ExtendingBridgeNEShort8,Snow Refinery Terran Extending Bridge NEShort8=21825
Unit/Name/SnowRefinery_Terran_ExtendingBridgeNEShort8Out,Snow Refinery Terran Extending Bridge NEShort8 Out=21826
Unit/Name/SnowRefinery_Terran_ExtendingBridgeNWShort8,Snow Refinery Terran Extending Bridge NWShort8=21827
Unit/Name/SnowRefinery_Terran_ExtendingBridgeNWShort8Out,Snow Refinery Terran Extending Bridge NWShort8 Out=21828
Unit/Name/Tarsonis_Door,타소니스 문=21829
Unit/Name/Tarsonis_DoorE,Tarsonis Door E=21830
Unit/Name/Tarsonis_DoorELowered,Tarsonis Door E Lowered=21831
Unit/Name/Tarsonis_DoorN,Tarsonis Door N=21832
Unit/Name/Tarsonis_DoorNE,Tarsonis Door NE=21833
Unit/Name/Tarsonis_DoorNELowered,Tarsonis Door NE Lowered=21834
Unit/Name/Tarsonis_DoorNLowered,Tarsonis Door N Lowered=21835
Unit/Name/Tarsonis_DoorNW,Tarsonis Door NW=21836
Unit/Name/Tarsonis_DoorNWLowered,Tarsonis Door NW Lowered=21837
Unit/Name/TempestWeaponGround,폭풍함 무기 (지상)=21838
Unit/Name/Ursadon,우르사돈 /// Ursadon=21839
Unit/Name/Ursula,우르술라 /// Ursula=21840
Unit/Name/VoidMPImmortalReviveCorpse,불멸자 부활 시체 /// Immortal Revive Corpse=21841
Unit/Name/XelNagaDestructibleBlocker6E,차단물 /// Blockade=21842
Unit/Name/XelNagaDestructibleBlocker6N,차단물 /// Blockade=21843
Unit/Name/XelNagaDestructibleBlocker6NE,차단물 /// Blockade=21844
Unit/Name/XelNagaDestructibleBlocker6NW,차단물 /// Blockade=21845
Unit/Name/XelNagaDestructibleBlocker6S,차단물 /// Blockade=21846
Unit/Name/XelNagaDestructibleBlocker6SE,차단물 /// Blockade=21847
Unit/Name/XelNagaDestructibleBlocker6SW,차단물 /// Blockade=21848
Unit/Name/XelNagaDestructibleBlocker6W,차단물 /// Blockade=21849
Unit/Name/XelNagaDestructibleBlocker8E,차단물 /// Blockade=21850
Unit/Name/XelNagaDestructibleBlocker8N,차단물 /// Blockade=21851
Unit/Name/XelNagaDestructibleBlocker8NE,차단물 /// Blockade=21852
Unit/Name/XelNagaDestructibleBlocker8NW,차단물 /// Blockade=21853
Unit/Name/XelNagaDestructibleBlocker8S,차단물 /// Blockade=21854
Unit/Name/XelNagaDestructibleBlocker8SE,차단물 /// Blockade=21855
Unit/Name/XelNagaDestructibleBlocker8SW,차단물 /// Blockade=21856
Unit/Name/XelNagaDestructibleBlocker8W,차단물 /// Blockade=21857
Unit/Name/XelNagaDestructibleRampBlocker,XelNagaDestructibleRampBlocker (Parent)=21858
Unit/Name/XelNagaDestructibleRampBlocker6E,차단물 /// Blockade=21859
Unit/Name/XelNagaDestructibleRampBlocker6N,차단물 /// Blockade=21860
Unit/Name/XelNagaDestructibleRampBlocker6NE,차단물 /// Blockade=21861
Unit/Name/XelNagaDestructibleRampBlocker6NW,차단물 /// Blockade=21862
Unit/Name/XelNagaDestructibleRampBlocker6S,차단물 /// Blockade=21863
Unit/Name/XelNagaDestructibleRampBlocker6SE,차단물 /// Blockade=21864
Unit/Name/XelNagaDestructibleRampBlocker6SW,차단물 /// Blockade=21865
Unit/Name/XelNagaDestructibleRampBlocker6W,차단물 /// Blockade=21866
Unit/Name/XelNagaDestructibleRampBlocker8E,차단물 /// Blockade=21867
Unit/Name/XelNagaDestructibleRampBlocker8N,차단물 /// Blockade=21868
Unit/Name/XelNagaDestructibleRampBlocker8NE,차단물 /// Blockade=21869
Unit/Name/XelNagaDestructibleRampBlocker8NW,차단물 /// Blockade=21870
Unit/Name/XelNagaDestructibleRampBlocker8S,차단물 /// Blockade=21871
Unit/Name/XelNagaDestructibleRampBlocker8SE,차단물 /// Blockade=21872
Unit/Name/XelNagaDestructibleRampBlocker8SW,차단물 /// Blockade=21873
Unit/Name/XelNagaDestructibleRampBlocker8W,차단물 /// Blockade=21874
Upgrade/Name/AdeptKillBounce,충격파=21875
Upgrade/Name/AdeptPiercingAttack,공명 파열포 /// Resonating Glaives=21876
Upgrade/Name/AdeptShieldUpgrade,보호막 업그레이드 /// Shield Upgrade=21877
Upgrade/Name/AdeptSkin,사도 /// Adept=21878
Upgrade/Name/AdeptTaldarim,사도탈다림=21879
Upgrade/Name/Banshee_Merc_Collection,밴시=21880
Upgrade/Name/Battlecruiser_Merc_Collection,전투순양함=21881
Upgrade/Name/CinematicMode,동영상 모드=21882
Upgrade/Name/ColossusSkin,거신 /// Colossus=21883
Upgrade/Name/ColossusTal,거신 /// Colossus=21884
Upgrade/Name/CycloneAirUpgrade,지대공 조준=21885
Upgrade/Name/CycloneLockOnRangeUpgrade,조준경 /// Targeting Optics=21886
Upgrade/Name/DrillClaws,천공 발톱 /// Drilling Claws=21887
Upgrade/Name/FlyingLocusts,비행 식충 /// Flying Locusts=21888
Upgrade/Name/Hellion_Merc_Collection,화염차=21889
Upgrade/Name/ImmortalBarrier,불멸자 방어막=21890
Upgrade/Name/ImmortalRevive,불멸자 부활=21891
Upgrade/Name/LiberatorMorph,해방선 변신=21892
Upgrade/Name/Liberator_Merc_Collection,해방선=21893
Upgrade/Name/Marauder_Merc_Collection,불곰=21894
Upgrade/Name/Marine_Merc_Collection,해병=21895
Upgrade/Name/Medivac_Merc_Collection,의료선=21896
Upgrade/Name/Reaper_Merc_Collection,사신=21897
Upgrade/Name/RoachSupply,바퀴 보급=21898
Upgrade/Name/SCV_Merc_Collection,건설로봇=21899
Upgrade/Name/SiegeTank_Merc_Collection,공성 전차=21900
Upgrade/Name/TerranVehicleAndShipArmors,테란 차량 및 우주선 장갑 /// Terran Vehicle And Ship Plating=21901
Upgrade/Name/TerranVehicleAndShipArmorsLevel1,테란 차량 및 우주선 장갑 1단계 /// Terran Vehicle And Ship Plating Level 1=21902
Upgrade/Name/TerranVehicleAndShipArmorsLevel2,테란 차량 및 우주선 장갑 2단계 /// Terran Vehicle And Ship Plating Level 2=21903
Upgrade/Name/TerranVehicleAndShipArmorsLevel3,테란 차량 및 우주선 장갑 3단계 /// Terran Vehicle And Ship Plating Level 3=21904
Upgrade/Name/TerranVehicleAndShipWeapons,테란 차량 및 우주선 무기 /// Terran Vehicle And Ship Weapons=21905
Upgrade/Name/TerranVehicleAndShipWeaponsLevel1,테란 차량 및 우주선 무기 1단계 /// Terran Vehicle And Ship Weapons Level 1=21906
Upgrade/Name/TerranVehicleAndShipWeaponsLevel2,테란 차량 및 우주선 무기 2단계 /// Terran Vehicle And Ship Weapons Level 2=21907
Upgrade/Name/TerranVehicleAndShipWeaponsLevel3,테란 차량 및 우주선 무기 3단계 /// Terran Vehicle And Ship Weapons Level 3=21908
Upgrade/Name/Thor_Merc_Collection,토르=21909
Upgrade/Name/Viking_Merc_Collection,바이킹=21910
Weapon/Name/Adept,쐐기포 /// Glaive Cannon=21911
Weapon/Name/ArbiterMPWeapon,중재자 MP무기 /// Arbiter MPWeapon=21912
Weapon/Name/CycloneFakeWeapon,사이클론 가짜 무기 /// Cyclone Fake Weapon=21913
Weapon/Name/CycloneLockOnDummy,사이클론 목표물 고정 모형 /// Cyclone Lock On Dummy=21914
Weapon/Name/DevourerMPWeapon,포식귀 MP무기 /// Devourer MPWeapon=21915
Weapon/Name/GuardianMPWeapon,산성 포자 /// Acid Spores=21916
Weapon/Name/HERCWeapon,H1 플래시 용접기 /// H1 Flash Welder=21917
Weapon/Name/LanceMissileLaunchers,250mm 천벌포 /// 250mm Punisher Cannons=21918
Weapon/Name/LiberatorAGWeapon,콩코드 포 /// Concord Cannon=21919
Weapon/Name/LiberatorMissileLaunchers,렉싱턴 로켓 /// Lexington Rockets=21920
Weapon/Name/LocustMPFlyingSwoopWeapon,식충 MP 비행 급강하 무기 /// Locust MP Flying Swoop Weapon=21921
Weapon/Name/MoopyStick,무피 막대기 /// Moopy Stick=21922
Weapon/Name/NeutronFlare,중성자 섬광탄 /// Neutron Flare=21923
Weapon/Name/Oracle,펄서 광선 /// Pulsar Beam=21924
Weapon/Name/PhaseDisruptersAir,위상 분열기 (공중) /// Phase Disruptors (Air)=21925
Weapon/Name/RavagerWeapon,플라스마 방출 /// Plasma Discharge=21926
Weapon/Name/RipField,펄서 광선 /// Pulsar Beam=21927
Weapon/Name/ScourgeMPWeapon,자폭 /// Suicide=21928
Weapon/Name/ScoutMPAir,정찰기 MP공중 /// Scout MPAir=21929
Weapon/Name/ScoutMPGround,정찰기 MP지상 /// Scout MPGround=21930
Weapon/Name/SlaynElementalWeapon,에너지 착취 /// Energy Leech=21931
Weapon/Name/TempestGround,공진 코일 /// Resonance Coil=21932
Weapon/Name/ThermalLanceAir,열 광선 (공중) /// Thermal Lance (Air)=21933
Weapon/Name/TyphoonMissilePod,태풍 미사일 포 /// Typhoon Missile Pod=21934
Weapon/Name/VoidRaySwarm,분광 광선 /// Prismatic Beam=21935
Weapon/Name/VoidRaySwarmDummy,분광 광선 /// Prismatic Beam=21936
Weapon/Name/VoidRaySwarmEnhanced,분광 광선 /// Prismatic Beam=21937
Weapon/Tip/PulsarCannon,=21938
Button/Tooltip/EnergyRecharge,Instantly recharges <d ref="Effect,EnergyRecharge,VitalArray[Energy].Change"/> energy to a unit near a Nexus and an additional <d ref="Effect,EnergyRecharge,VitalArray[Energy].Change*Effect,EnergyRechargePersistent,PeriodCount"/> energy over <d ref="Effect,EnergyRechargePersistent,PeriodicPeriodArray[0]*Effect,EnergyRechargePersistent,PeriodCount"/> <lang rule="plural">second,seconds</lang>.=21939
Error/AddOnIsWorking,Can't do that while add-on is researching=21940
Abil/Name/ArbiterSCBWEnergyUpgrade,Research=21941
Abil/Name/ArbiterSCBWRecall,Recall=21942
Abil/Name/ArbiterSCBWRecallResearch,Research=21943
Abil/Name/ArbiterSCBWStasisField,Stasis Field=21944
Abil/Name/ArbiterSCBWStasisFieldResearch,Research=21945
Abil/Name/ArchonSCBW@Mergeable,Mergeable=21946
Abil/Name/ArchonSCBWMerge,Archon Merge=21947
Abil/Name/BarracksSCBW@Land,Land=21948
Abil/Name/BarracksSCBW@LiftOff,Lift Off=21949
Abil/Name/BarracksSCBW@Train,Train=21950
Abil/Name/BattlecruiserSCBWEnergyUpgrade,Research=21951
Abil/Name/BattlecruiserSCBWYamato,Yamato Gun=21952
Abil/Name/BattlecruiserSCBWYamatoResearch,Research=21953
Abil/Name/BunkerSCBW@AttackRedirect,Attack Redirect=21954
Abil/Name/BunkerSCBW@HealRedirect,Heal Redirect=21955
Abil/Name/BunkerSCBW@StopRedirect,Stop Redirect=21956
Abil/Name/BunkerSCBW@Transport,Transport=21957
Abil/Name/BunkerSCBWStop,Stop=21958
Abil/Name/CarrierSCBWHangar,Hangar=21959
Abil/Name/CarrierSCBWHangarIncreaseUpgrade,=21960
Abil/Name/CommandCenterSCBW@AddOns,AddOns=21961
Abil/Name/CommandCenterSCBW@Land,Land=21962
Abil/Name/CommandCenterSCBW@LiftOff,Lift Off=21963
Abil/Name/CommandCenterSCBW@Rally,Rally=21964
Abil/Name/CommandCenterSCBW@Train,Train=21965
Abil/Name/CommandCenterSCBW@Transport,Transport=21966
Abil/Name/ComsatStationSCBWScannerSweep,Scanner Sweep=21967
Abil/Name/CorsairSCBWDisruptionWeb,Disruption Web=21968
Abil/Name/CorsairSCBWDisruptionWebResearch,Research=21969
Abil/Name/CorsairSCBWEnergyUpgrade,Research=21970
Abil/Name/DarkArchonSCBW@Mergeable,Mergeable=21971
Abil/Name/DarkArchonSCBWEnergyUpgrade,Research=21972
Abil/Name/DarkArchonSCBWFeedback,Feedback=21973
Abil/Name/DarkArchonSCBWFeedbackResearch,Research=21974
Abil/Name/DarkArchonSCBWMaelstrom,Maelstrom=21975
Abil/Name/DarkArchonSCBWMaelstromResearch,Research=21976
Abil/Name/DarkArchonSCBWMerge,Dark Archon Merge=21977
Abil/Name/DarkArchonSCBWMindControl,Mind Control=21978
Abil/Name/DarkArchonSCBWMindControlResearch,Research=21979
Abil/Name/DefilerSCBW@BurrowDown,Burrow=21980
Abil/Name/DefilerSCBW@BurrowUp,Unburrow=21981
Abil/Name/DefilerSCBWConsume,Consume=21982
Abil/Name/DefilerSCBWConsumeResearch,=21983
Abil/Name/DefilerSCBWDarkSwarm,Dark Swarm=21984
Abil/Name/DefilerSCBWDarkSwarmResearch,=21985
Abil/Name/DefilerSCBWEnergyUpgrade,Research=21986
Abil/Name/DefilerSCBWPlague,Plague=21987
Abil/Name/DefilerSCBWPlagueResearch,=21988
Abil/Name/DevourerSCBW@Morph,Morph=21989
Abil/Name/DragoonSCBWRangeUpgrade,Research=21990
Abil/Name/DroneSCBW@Build,Build=21991
Abil/Name/DroneSCBW@BuildAdv,Build=21992
Abil/Name/DroneSCBW@BurrowDown,Burrow=21993
Abil/Name/DroneSCBW@BurrowUp,Unburrow=21994
Abil/Name/DroneSCBW@Harvest,Gather=21995
Abil/Name/DropshipSCBW@Transport,Transport=21996
Abil/Name/DropshipSCBWSpeedBoost,Emergency Thrusters=21997
Abil/Name/DropshipSCBWSpeedBoostResearch,Research=21998
Abil/Name/EngineeringBaySCBW@Land,Land=21999
Abil/Name/EngineeringBaySCBW@LiftOff,Lift Off=22000
Abil/Name/FactorySCBW@AddOns,AddOns=22001
Abil/Name/FactorySCBW@Land,Land=22002
Abil/Name/FactorySCBW@LiftOff,Lift Off=22003
Abil/Name/FactorySCBW@Train,Train=22004
Abil/Name/FirebatSCBWStimpack,Stimpack (Firebat)=22005
Abil/Name/FirebatSCBWStimpack@Redirect,Redirect=22006
Abil/Name/GatewaySCBW@Train,Train=22007
Abil/Name/GatewaySCBWResonantMatrixResearch,Research=22008
Abil/Name/GhostSCBWCloak,Personal Cloaking=22009
Abil/Name/GhostSCBWCloakResearch,Research=22010
Abil/Name/GhostSCBWEnergyUpgrade,Research=22011
Abil/Name/GhostSCBWHoldFire,Hold Fire=22012
Abil/Name/GhostSCBWHoldFireResearch,Research=22013
Abil/Name/GhostSCBWLockdown,Lockdown=22014
Abil/Name/GhostSCBWLockdownResearch,Research=22015
Abil/Name/GhostSCBWNuclearStrike,Nuclear Strike (Ghost)=22016
Abil/Name/GhostSCBWSightUpgrade,Research=22017
Abil/Name/GhostSCBWWeaponsFree,Weapons Free=22018
Abil/Name/GhostSCBWWeaponsFreeResearch,Research=22019
Abil/Name/GoliathSCBWRangeUpgrade,Research=22020
Abil/Name/GreaterSpireSCBW@Morph,Morph=22021
Abil/Name/GuardianSCBW@Morph,Morph=22022
Abil/Name/HatcherySCBW@Rally, Rally=22023
Abil/Name/HighTemplarSCBWEnergyUpgrade,Research=22024
Abil/Name/HighTemplarSCBWHallucination,Hallucination=22025
Abil/Name/HighTemplarSCBWHallucinationResearch,Research=22026
Abil/Name/HighTemplarSCBWPsiStorm,Psi Storm=22027
Abil/Name/HighTemplarSCBWPsiStormResearch,Research=22028
Abil/Name/HiveSCBW@Morph,Morph=22029
Abil/Name/HotkeyConflictFix,HotkeyConflictFix=22030
Abil/Name/HydraliskSCBW@BurrowDown,Burrow=22031
Abil/Name/HydraliskSCBW@BurrowUp,Unburrow=22032
Abil/Name/HydraliskSCBWRangeUpgrade,Research=22033
Abil/Name/HydraliskSCBWSpeedUpgrade,Research=22034
Abil/Name/InfestedCommandCenterSC2@Land,Land=22035
Abil/Name/InfestedCommandCenterSC2@LiftOff,Lift Off=22036
Abil/Name/InfestedCommandCenterSC2@Morph,Morph=22037
Abil/Name/InfestedCommandCenterSC2@MorphFlyer,Morph Flyer=22038
Abil/Name/InfestedCommandCenterSCBW@AddOns,AddOns=22039
Abil/Name/InfestedCommandCenterSCBW@Land,Land=22040
Abil/Name/InfestedCommandCenterSCBW@LiftOff,Lift Off=22041
Abil/Name/InfestedCommandCenterSCBW@Morph,Morph=22042
Abil/Name/InfestedCommandCenterSCBW@MorphFlyer,Morph Flyer=22043
Abil/Name/InfestedCommandCenterSCBW@Rally,Rally=22044
Abil/Name/InfestedCommandCenterSCBW@Train,Train=22045
Abil/Name/InfestedCommandCenterSCBW@Transport,Transport=22046
Abil/Name/InfestedOrbitalCommandSCBW@Land,Land=22047
Abil/Name/InfestedOrbitalCommandSCBW@LiftOff,Lift Off=22048
Abil/Name/InfestedOrbitalCommandSCBW@Morph,Morph=22049
Abil/Name/InfestedOrbitalCommandSCBW@MorphFlyer,Morph Flyer=22050
Abil/Name/InfestedPlanetaryFortressSCBW@Morph,Morph=22051
Abil/Name/InfestedTerranSCBW@BurrowDown,Burrow=22052
Abil/Name/InfestedTerranSCBW@BurrowUp,Unburrow=22053
Abil/Name/InfestedTerranSCBW@Explode,Explode=22054
Abil/Name/InfestedTerranSCBW@SapStructure,Sap Structure=22055
Abil/Name/LairSCBW@Morph,Morph=22056
Abil/Name/LarvaSCBW@Train,Morph=22057
Abil/Name/LurkerSCBW@BurrowDown,Burrow=22058
Abil/Name/LurkerSCBW@BurrowUp,Unburrow=22059
Abil/Name/LurkerSCBW@Morph,Morph=22060
Abil/Name/LurkerSCBW@MorphBurrowed,Morph Burrowed=22061
Abil/Name/LurkerSCBWResearch,Research=22062
Abil/Name/MarineSCBWRangeUpgrade,Research=22063
Abil/Name/MarineSCBWStimpack,Stimpack (Marine)=22064
Abil/Name/MarineSCBWStimpack@Redirect,Redirect=22065
Abil/Name/MechPlating,Research=22066
Abil/Name/MedicSCBWEnergyUpgrade,Research=22067
Abil/Name/MedicSCBWHeal,Heal=22068
Abil/Name/MedicSCBWHealResearch,Research=22069
Abil/Name/MedicSCBWOpticFlare,Optic Flare=22070
Abil/Name/MedicSCBWOpticFlareResearch,Research=22071
Abil/Name/MedicSCBWRestoration,Restoration=22072
Abil/Name/MedicSCBWRestorationResearch,Research=22073
Abil/Name/MutateInProgressSCBW,Mutate in Progress=22074
Abil/Name/NexusSCBW@Rally,Rally=22075
Abil/Name/NexusSCBW@Train,Train=22076
Abil/Name/NukeSCBWArm,Arm Nuke=22077
Abil/Name/NydusCanalSCBW@Build,Build=22078
Abil/Name/NydusCanalSCBW@Mutate,Mutate in Progress=22079
Abil/Name/NydusCanalSCBW@Rally,Rally=22080
Abil/Name/NydusCanalSCBW@Transport,Transport=22081
Abil/Name/ObserverSCBW@Morph,Morph To Sieged=22082
Abil/Name/ObserverSCBWSieged@Morph,Morph To Normal=22083
Abil/Name/ObserverSCBWSightUpgrade,Research=22084
Abil/Name/ObserverSCBWSpeedUpgrade,Research=22085
Abil/Name/OverlordSCBW@Transport,Transport=22086
Abil/Name/OverlordSCBWSightUpgrade,Research=22087
Abil/Name/OverlordSCBWSpeedUpgrade,Research=22088
Abil/Name/OverlordSCBWTransportResearch,Research=22089
Abil/Name/ProbeSCBW@Build,Build=22090
Abil/Name/ProbeSCBW@BuildAdv,Build=22091
Abil/Name/ProbeSCBW@Harvest,Gather=22092
Abil/Name/ProtossAbilSCBW,ProtossAbilSCBW=22093
Abil/Name/ProtossAirArmorsSCBW,Research=22094
Abil/Name/ProtossAirWeaponsSCBW,Research=22095
Abil/Name/ProtossGroundArmorsSCBW,Research=22096
Abil/Name/ProtossGroundWeaponsSCBW,Research=22097
Abil/Name/ProtossSCBWTrain,ProtossSCBWTrain=22098
Abil/Name/ProtossShieldsSCBW,Research=22099
Abil/Name/QueenSCBWEnergyUpgrade,Research=22100
Abil/Name/QueenSCBWEnsnare,Ensnare=22101
Abil/Name/QueenSCBWEnsnareResearch,=22102
Abil/Name/QueenSCBWInfestCommandCenter,Infest Command Center=22103
Abil/Name/QueenSCBWParasite,Parasite=22104
Abil/Name/QueenSCBWParasiteResearch,=22105
Abil/Name/QueenSCBWSpawnBroodlings,Spawn Broodlings=22106
Abil/Name/QueenSCBWSpawnBroodlingsResearch,=22107
Abil/Name/ReaverSCBWHangar,Hangar=22108
Abil/Name/ReaverSCBWHangarIncreaseUpgrade,=22109
Abil/Name/ReaverSCBWWeapon@Chase,Reaver Chase=22110
Abil/Name/ReaverSCBWWeapon@Stop,Reaver Stop=22111
Abil/Name/ReaverSCBWWeaponRangeUpgrade,=22112
Abil/Name/RoboticsFacilitySCBW@Train,Train=22113
Abil/Name/SCBW_Abil,SCBW_Abil=22114
Abil/Name/SCBW_ArmMagazine,SCBW_ArmMagazine=22115
Abil/Name/SCBW_Build,SCBW_Build=22116
Abil/Name/SCBW_Research,SCBW_Research=22117
Abil/Name/SCBW_ResearchLeveled,SCBW_ResearchLeveled=22118
Abil/Name/SCBW_Train,SCBW_Train=22119
Abil/Name/SCVSCBW@Build,Build=22120
Abil/Name/SCVSCBW@BuildAdv,Build=22121
Abil/Name/SCVSCBW@Harvest,Gather=22122
Abil/Name/SCVSCBW@Repair,Repair=22123
Abil/Name/SalvageRedirect,Salvage=22124
Abil/Name/ScarabSCBWWeaponDamageUpgrade,=22125
Abil/Name/ScienceFacilitySCBW@AddOns,AddOns=22126
Abil/Name/ScienceFacilitySCBW@Land,Land=22127
Abil/Name/ScienceFacilitySCBW@LiftOff,Lift Off=22128
Abil/Name/ScienceVesselSCBWDefensiveMatrix,Defensive Matrix=22129
Abil/Name/ScienceVesselSCBWDefensiveMatrixResearch,Research=22130
Abil/Name/ScienceVesselSCBWEMPShockwave,EMP Shockwave=22131
Abil/Name/ScienceVesselSCBWEMPShockwaveResearch,Research=22132
Abil/Name/ScienceVesselSCBWEnergyUpgrade,Research=22133
Abil/Name/ScienceVesselSCBWIrradiate,Irradiate=22134
Abil/Name/ScienceVesselSCBWIrradiateResearch,Research=22135
Abil/Name/ScoutSCBWSightUpgrade,Research=22136
Abil/Name/ScoutSCBWSpeedUpgrade,Research=22137
Abil/Name/ShieldBatterySCBWRecharge,Recharge=22138
Abil/Name/ShieldBatterySCBWRecharge@Battery,Battery=22139
Abil/Name/ShuttleSCBW@RedirectScarab,Create Scarab=22140
Abil/Name/ShuttleSCBW@RedirectScarabCancel,Cancel Scarab=22141
Abil/Name/ShuttleSCBW@Transport,Transport=22142
Abil/Name/ShuttleSCBWSpeedUpgrade,Research=22143
Abil/Name/SiegeModeSCBWResearch,Research=22144
Abil/Name/SiegeTankSCBW@Siege,Siege Mode=22145
Abil/Name/SiegeTankSCBW@Unsiege,Unsiege=22146
Abil/Name/SiegeTankSCBWSieged@Unsiege,Unsiege=22147
Abil/Name/SpiderMineSCBW@Burrow,Burrow=22148
Abil/Name/SpiderMineSCBW@Unburrow,Unburrow=22149
Abil/Name/SpiderMineSCBW@UnburrowRangeDummy,Unburrow Range Dummy=22150
Abil/Name/SporeColonySCBW@Morph,Morph=22151
Abil/Name/StargateSCBW@Train,Train=22152
Abil/Name/StarportSCBW@AddOns,AddOns=22153
Abil/Name/StarportSCBW@Land,Land=22154
Abil/Name/StarportSCBW@LiftOff,Lift Off=22155
Abil/Name/StarportSCBW@Train,Train=22156
Abil/Name/StimpackSCBWResearch,Research=22157
Abil/Name/StingerSCBWAttackMoveUpgrade,Research=22158
Abil/Name/SunkenColonySCBW@Morph,Morph=22159
Abil/Name/TerranAbilSBCBW,TerranAbilSCBW=22160
Abil/Name/TerranAbilSCBW,TerranAbilSCBW=22161
Abil/Name/TerranBuildingSCBW@AddOns,AddOns=22162
Abil/Name/TerranBuildingSCBW@Land,Land =22163
Abil/Name/TerranBuildingSCBW@LiftOff,Lift Off=22164
Abil/Name/TerranInfantryArmorsSCBW,Research=22165
Abil/Name/TerranInfantryWeaponsSCBW,Research=22166
Abil/Name/TerranShipPlatingSCBW,Research=22167
Abil/Name/TerranShipWeaponsSCBW,Research=22168
Abil/Name/TerranVehiclePlatingSCBW,Research=22169
Abil/Name/TerranVehicleWeaponsSCBW,Research=22170
Abil/Name/UltraliskSCBW@BurrowDown,Burrow=22171
Abil/Name/UltraliskSCBW@BurrowUp,Unburrow=22172
Abil/Name/UltraliskSCBWArmorUpgrade,Research=22173
Abil/Name/UltraliskSCBWSpeedUpgrade,Research=22174
Abil/Name/VulturePlaceSpiderMineSCBW,Place Spider Mine=22175
Abil/Name/VulturePlaceSpiderMineSCBW@PH,Placeholder=22176
Abil/Name/VulturePlaceSpiderMineSCBWResearch,Research=22177
Abil/Name/VultureSCBWSpeedUpgrade,Research=22178
Abil/Name/WarpInProgressSCBW,Warp in Progress=22179
Abil/Name/WraithSCBWCloak,Cloaking Field=22180
Abil/Name/WraithSCBWCloakResearch,Research=22181
Abil/Name/WraithSCBWEnergyUpgrade,Research=22182
Abil/Name/ZealotSCBWSpeedUpgrade,Research=22183
Abil/Name/ZergAbilSCBW,ZergAbilSCBW=22184
Abil/Name/ZergFlyerAttacksSCBW,Research=22185
Abil/Name/ZergFlyerCarapaceSCBW,Research=22186
Abil/Name/ZergGroundCarapaceSCBW,Research=22187
Abil/Name/ZergMeleeAttacksSCBW,Research=22188
Abil/Name/ZergMissileAttacksSCBW,Research=22189
Abil/Name/ZergSCBWBurrowResearch,Research=22190
Abil/Name/ZerglingSCBW@BurrowDown,Burrow=22191
Abil/Name/ZerglingSCBW@BurrowUp,Unburrow=22192
